match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,blueberry,0,2,2,0,0,special_focus,swarm_focus
2,blueberry,0,2,2,0,0,special_focus,ranged_focus
3,blueberry,0,2,2,0,0,special_focus,mixed_composition
4,blueberry,0,2,2,0,0,special_focus,swarm_focus
5,blueberry,1,2,3,0,0,special_focus,mixed_composition
6,blueberry,1,2,3,0,0,special_focus,ranged_focus
7,blueberry,1,2,3,0,0,special_focus,swarm_focus
8,blueberry,0,2,2,0,0,special_focus,mixed_composition
9,blueberry,0,2,2,0,0,special_focus,swarm_focus
10,blueberry,1,2,3,0,0,special_focus,mixed_composition
11,blueberry,0,2,2,0,0,special_focus,swarm_focus
12,blueberry,0,2,2,0,0,special_focus,mixed_composition
13,blueberry,0,2,2,0,0,special_focus,mixed_composition
14,blueberry,0,2,2,0,0,special_focus,swarm_focus
15,blueberry,1,2,3,0,0,special_focus,swarm_focus
16,blueberry,1,2,3,0,0,special_focus,mixed_composition
17,blueberry,0,2,2,0,0,special_focus,mixed_composition
18,raspberry,2,0,2,0,0,special_focus,ranged_focus
19,blueberry,1,2,3,0,0,special_focus,swarm_focus
20,blueberry,0,2,2,0,0,special_focus,swarm_focus
21,blueberry,1,2,3,0,0,special_focus,mixed_composition
22,blueberry,0,2,2,0,0,special_focus,mixed_composition
23,blueberry,0,2,2,0,0,special_focus,swarm_focus
24,raspberry,2,1,3,0,0,special_focus,ranged_focus
25,blueberry,1,2,3,0,0,special_focus,mixed_composition
26,blueberry,0,2,2,0,0,special_focus,swarm_focus
27,blueberry,0,2,2,0,0,special_focus,swarm_focus
28,blueberry,1,2,3,0,0,special_focus,ranged_focus
29,blueberry,0,2,2,0,0,special_focus,mixed_composition
30,raspberry,2,1,3,0,0,special_focus,ranged_focus
31,blueberry,0,2,2,0,0,special_focus,mixed_composition
32,blueberry,0,2,2,0,0,special_focus,mixed_composition
33,raspberry,2,1,3,0,0,special_focus,mixed_composition
34,blueberry,0,2,2,0,0,special_focus,swarm_focus
35,blueberry,0,2,2,0,0,special_focus,ranged_focus
36,blueberry,1,2,3,0,0,special_focus,swarm_focus
37,raspberry,2,1,3,0,0,special_focus,ranged_focus
38,blueberry,1,2,3,0,0,special_focus,swarm_focus
39,blueberry,1,2,3,0,0,special_focus,mixed_composition
40,blueberry,0,2,2,0,0,special_focus,swarm_focus
41,raspberry,2,1,3,0,0,special_focus,mixed_composition
42,blueberry,0,2,2,0,0,special_focus,swarm_focus
43,blueberry,0,2,2,0,0,special_focus,mixed_composition
44,blueberry,0,2,2,0,0,special_focus,swarm_focus
45,blueberry,0,2,2,0,0,special_focus,ranged_focus
46,blueberry,0,2,2,0,0,special_focus,swarm_focus
47,blueberry,0,2,2,0,0,special_focus,swarm_focus
48,blueberry,1,2,3,0,0,special_focus,swarm_focus
49,raspberry,2,1,3,0,0,special_focus,mixed_composition
50,blueberry,0,2,2,0,0,special_focus,swarm_focus
51,blueberry,0,2,2,0,0,special_focus,mixed_composition
52,blueberry,0,2,2,0,0,special_focus,mixed_composition
53,blueberry,0,2,2,0,0,special_focus,swarm_focus
54,blueberry,0,2,2,0,0,special_focus,mixed_composition
55,blueberry,0,2,2,0,0,special_focus,swarm_focus
56,blueberry,0,2,2,0,0,special_focus,swarm_focus
57,blueberry,1,2,3,0,0,special_focus,ranged_focus
58,raspberry,2,1,3,0,0,special_focus,ranged_focus
59,raspberry,2,1,3,0,0,special_focus,mixed_composition
60,blueberry,0,2,2,0,0,special_focus,swarm_focus
61,blueberry,0,2,2,0,0,special_focus,swarm_focus
62,blueberry,1,2,3,0,0,special_focus,swarm_focus
63,blueberry,1,2,3,0,0,special_focus,swarm_focus
64,blueberry,0,2,2,0,0,special_focus,mixed_composition
65,blueberry,1,2,3,0,0,special_focus,swarm_focus
66,blueberry,0,2,2,0,0,special_focus,mixed_composition
67,blueberry,1,2,3,0,0,special_focus,ranged_focus
68,blueberry,1,2,3,0,0,special_focus,swarm_focus
69,blueberry,0,2,2,0,0,special_focus,swarm_focus
70,blueberry,1,2,3,0,0,special_focus,mixed_composition
71,blueberry,1,2,3,0,0,special_focus,swarm_focus
72,blueberry,0,2,2,0,0,special_focus,mixed_composition
73,blueberry,0,2,2,0,0,special_focus,mixed_composition
74,blueberry,1,2,3,0,0,special_focus,swarm_focus
75,blueberry,0,2,2,0,0,special_focus,swarm_focus
76,raspberry,2,1,3,0,0,special_focus,ranged_focus
77,blueberry,0,2,2,0,0,special_focus,swarm_focus
78,blueberry,0,2,2,0,0,special_focus,ranged_focus
79,blueberry,1,2,3,0,0,special_focus,swarm_focus
80,blueberry,0,2,2,0,0,special_focus,mixed_composition
