match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,115.5,-3,0,0,blueberry_full_control
1,2,blueberry,112.0,-3,0,0,blueberry_full_control
2,1,blueberry,63.5,-1,0,0,raspberry_full_control
2,2,blueberry,65.0,-1,0,0,raspberry_full_control
3,1,blueberry,64.5,-1,0,0,raspberry_full_control
3,2,blueberry,180.0,-2,0,0,time
4,1,blueberry,120.5,-3,0,0,blueberry_full_control
4,2,blueberry,111.5,-3,0,0,blueberry_full_control
5,1,raspberry,76.5,2,0,0,raspberry_full_control
5,2,blueberry,111.5,-3,0,0,blueberry_full_control
5,3,blueberry,110.0,-3,0,0,blueberry_full_control
6,1,raspberry,104.0,2,0,0,raspberry_full_control
6,2,blueberry,64.5,0,0,0,raspberry_full_control
6,3,blueberry,63.5,-1,0,0,raspberry_full_control
7,1,raspberry,75.5,3,0,0,raspberry_full_control
7,2,blueberry,106.0,-3,0,0,blueberry_full_control
7,3,blueberry,122.5,-3,0,0,blueberry_full_control
8,1,blueberry,63.5,-1,0,0,raspberry_full_control
8,2,blueberry,63.5,-1,0,0,raspberry_full_control
9,1,blueberry,65.0,-2,0,0,raspberry_full_control
9,2,blueberry,66.0,-1,0,0,raspberry_full_control
10,1,raspberry,63.5,2,0,0,raspberry_full_control
10,2,blueberry,115.5,-3,0,0,blueberry_full_control
10,3,blueberry,67.0,-1,0,0,raspberry_full_control
11,1,blueberry,63.5,-1,0,0,raspberry_full_control
11,2,blueberry,117.5,-3,0,0,blueberry_full_control
12,1,blueberry,65.0,-1,0,0,raspberry_full_control
12,2,blueberry,66.0,-1,0,0,raspberry_full_control
13,1,blueberry,180.0,-3,0,0,time
13,2,blueberry,119.0,-3,0,0,blueberry_full_control
14,1,blueberry,66.0,-2,0,0,raspberry_full_control
14,2,blueberry,107.5,-3,0,0,blueberry_full_control
15,1,raspberry,63.5,1,0,0,raspberry_full_control
15,2,blueberry,115.0,-3,0,0,blueberry_full_control
15,3,blueberry,63.5,-1,0,0,raspberry_full_control
16,1,blueberry,64.5,-2,0,0,raspberry_full_control
16,2,raspberry,74.5,2,0,0,raspberry_full_control
