team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,431,5.3875,0.0506,173,2.1625,486,26746.46,334.3307,593221.72,0.0,1985,8092,12456.0,28.9002,116,1379,29
raspberry,macaron,마카롱,6546,81.825,0.7682,0,0.0,7875,0.0,0.0,1075799.19,1311779.52,0,15535,98993.5,15.1227,0,5483,31
raspberry,pie,파이,1088,13.6,0.1277,721,9.0125,1204,94914.88,1186.436,285329.87,0.0,3172,3083,22499.5,20.6797,200,1227,22
raspberry,scone,스콘,137,1.7125,0.0161,390,4.875,118,47145.08,589.3135,57607.49,0.0,742,695,3944.0,28.7883,30,262,25
raspberry,tart,타르트,319,3.9875,0.0374,632,7.9,262,145155.42,1814.4428,100328.72,0.0,2588,1073,10975.5,34.406,179,409,20
blueberry,baumkuchen,바움쿠헨,251,3.1375,0.0342,57,0.7125,71,26187.65,327.3456,25058.95,0.0,906,854,9241.5,36.8187,188,29,5
blueberry,pannacotta,판나코타,77,0.9625,0.0105,201,2.5125,60,28607.32,357.5915,483.53,0.0,57,16,950.0,12.3377,7,0,0
blueberry,pie,파이,3718,46.475,0.5072,3233,40.4125,1119,560046.62,7000.5827,121437.97,0.0,11378,3279,130382.5,35.0679,3272,198,5
blueberry,scone,스콘,930,11.625,0.1269,4098,51.225,150,560518.43,7006.4804,46709.92,0.0,5522,1200,43799.5,47.0962,1748,116,5
blueberry,tarte_tatin,타르트·타탱,2355,29.4375,0.3212,2356,29.45,573,936926.98,11711.5872,120271.46,0.0,10615,3138,92543.0,39.2964,3545,182,6
