match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,blueberry,1,2,3,0,0,special_focus,tank_focus
2,raspberry,2,1,3,0,0,special_focus,tank_focus
3,raspberry,2,1,3,0,0,special_focus,tank_focus
4,raspberry,2,1,3,0,0,special_focus,tank_focus
5,raspberry,2,1,3,0,0,special_focus,tank_focus
6,raspberry,2,0,2,0,0,special_focus,tank_focus
7,blueberry,1,2,3,0,0,special_focus,tank_focus
8,raspberry,2,1,3,0,0,special_focus,mixed_composition
9,blueberry,0,2,2,0,0,special_focus,tank_focus
10,raspberry,2,1,3,0,0,special_focus,tank_focus
11,raspberry,2,1,3,0,0,special_focus,tank_focus
12,blueberry,0,2,2,0,1,special_focus,tank_focus
13,raspberry,2,1,3,0,0,special_focus,mixed_composition
14,raspberry,2,0,2,0,0,special_focus,tank_focus
15,blueberry,0,2,2,0,0,special_focus,mixed_composition
16,raspberry,2,1,3,1,0,special_focus,tank_focus
17,blueberry,0,2,2,0,0,special_focus,mixed_composition
18,blueberry,1,2,3,0,0,special_focus,tank_focus
19,blueberry,0,2,2,0,0,special_focus,mixed_composition
20,raspberry,2,0,2,0,0,special_focus,tank_focus
21,blueberry,1,2,3,0,0,special_focus,tank_focus
22,blueberry,1,2,3,0,0,special_focus,mixed_composition
23,raspberry,2,1,3,0,0,special_focus,tank_focus
24,blueberry,0,2,2,0,0,special_focus,mixed_composition
25,blueberry,1,2,3,0,0,special_focus,tank_focus
26,blueberry,1,2,3,0,1,special_focus,tank_focus
27,raspberry,2,0,2,0,0,special_focus,tank_focus
28,blueberry,0,2,2,0,0,special_focus,mixed_composition
29,blueberry,1,2,3,0,2,special_focus,tank_focus
30,blueberry,1,2,3,0,0,special_focus,tank_focus
31,raspberry,2,1,3,0,0,special_focus,tank_focus
32,blueberry,0,2,2,0,0,special_focus,tank_focus
33,blueberry,1,2,3,0,0,special_focus,mixed_composition
34,raspberry,2,0,2,0,0,special_focus,tank_focus
35,blueberry,0,2,2,0,0,special_focus,tank_focus
36,raspberry,2,1,3,0,0,special_focus,mixed_composition
37,blueberry,1,2,3,0,0,special_focus,tank_focus
38,blueberry,1,2,3,0,0,special_focus,mixed_composition
39,blueberry,0,2,2,0,0,special_focus,tank_focus
40,blueberry,1,2,3,0,0,special_focus,tank_focus
41,raspberry,2,0,2,0,0,special_focus,tank_focus
42,raspberry,2,0,2,1,0,special_focus,tank_focus
43,blueberry,1,2,3,0,0,special_focus,tank_focus
44,blueberry,0,2,2,0,0,special_focus,tank_focus
45,blueberry,0,2,2,0,0,special_focus,mixed_composition
46,blueberry,1,2,3,0,0,special_focus,tank_focus
47,raspberry,2,1,3,0,0,special_focus,tank_focus
48,blueberry,1,2,3,0,2,special_focus,tank_focus
49,raspberry,2,1,3,0,0,special_focus,tank_focus
50,raspberry,2,1,3,0,0,special_focus,tank_focus
51,blueberry,0,2,2,0,0,special_focus,mixed_composition
52,blueberry,0,2,2,0,0,special_focus,tank_focus
53,blueberry,1,2,3,0,0,special_focus,tank_focus
54,blueberry,0,2,2,0,0,special_focus,mixed_composition
55,raspberry,2,1,3,0,0,special_focus,tank_focus
56,blueberry,1,2,3,0,0,special_focus,tank_focus
57,raspberry,2,1,3,0,0,special_focus,tank_focus
58,blueberry,1,2,3,0,0,special_focus,mixed_composition
59,blueberry,0,2,2,0,0,special_focus,tank_focus
60,raspberry,2,0,2,0,0,special_focus,mixed_composition
61,blueberry,0,2,2,0,0,special_focus,mixed_composition
62,blueberry,1,2,3,0,0,special_focus,tank_focus
63,raspberry,2,1,3,0,0,special_focus,tank_focus
64,raspberry,2,0,2,0,0,special_focus,tank_focus
65,raspberry,2,0,2,0,0,special_focus,tank_focus
66,raspberry,2,1,3,0,0,special_focus,tank_focus
67,raspberry,2,0,2,0,0,special_focus,tank_focus
68,blueberry,0,2,2,0,0,special_focus,mixed_composition
69,blueberry,0,2,2,0,0,special_focus,mixed_composition
70,blueberry,0,2,2,0,0,special_focus,mixed_composition
71,blueberry,1,2,3,0,0,special_focus,tank_focus
72,blueberry,0,2,2,0,0,special_focus,tank_focus
73,blueberry,1,2,3,0,0,special_focus,tank_focus
74,raspberry,2,0,2,0,0,special_focus,tank_focus
75,blueberry,1,2,3,0,0,special_focus,tank_focus
76,raspberry,2,0,2,0,0,special_focus,tank_focus
77,raspberry,2,0,2,0,0,special_focus,mixed_composition
78,raspberry,2,0,2,0,0,special_focus,tank_focus
79,blueberry,0,2,2,0,0,special_focus,mixed_composition
80,blueberry,0,2,2,0,1,special_focus,tank_focus
