raspberry_strategy,blueberry_strategy,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,raspberry_detected_dominant,blueberry_detected_dominant,strategy_diversity_penalty
tank_focus,tank_focus,0.775,0.225,1.0052,150.5464,tank_focus,tank_focus,0.702554
tank_focus,ranged_focus,0.3125,0.6875,-0.7056,157.2284,tank_focus,swarm_focus,0.321467
tank_focus,swarm_focus,0.125,0.875,-1.7527,139.1828,tank_focus,swarm_focus,0.525904
tank_focus,special_focus,0.0,1.0,-2.8261,156.5745,tank_focus,swarm_focus,0.525904
tank_focus,upgrade_focus,0.1,0.9,-2.0169,152.7938,tank_focus,swarm_focus,0.509073
tank_focus,mixed,0.025,0.975,-2.1667,153.3278,tank_focus,swarm_focus,0.516264
ranged_focus,tank_focus,1.0,0.0,2.5915,155.5122,mixed_composition,tank_focus,0.509073
ranged_focus,ranged_focus,0.9375,0.0625,1.7821,168.3156,mixed_composition,ranged_focus,0.535176
ranged_focus,swarm_focus,1.0,0.0,2.8385,162.5963,mixed_composition,swarm_focus,0.525904
ranged_focus,special_focus,0.8125,0.1875,1.2554,174.5082,mixed_composition,swarm_focus,0.569893
ranged_focus,upgrade_focus,0.9875,0.0125,1.9832,169.5335,mixed_composition,mixed_composition,0.658806
ranged_focus,mixed,0.975,0.025,2.0743,170.2857,mixed_composition,mixed_composition,0.687747
swarm_focus,tank_focus,0.975,0.025,2.1878,144.7901,swarm_focus,tank_focus,0.46363
swarm_focus,ranged_focus,0.0,1.0,-3.0,127.8812,swarm_focus,swarm_focus,0.898132
swarm_focus,swarm_focus,0.7875,0.2125,1.1421,152.5553,swarm_focus,swarm_focus,0.95
swarm_focus,special_focus,0.0,1.0,-2.6975,167.537,swarm_focus,swarm_focus,0.888366
swarm_focus,upgrade_focus,0.0,1.0,-2.7108,151.247,swarm_focus,swarm_focus,0.95
swarm_focus,mixed,0.0,1.0,-2.7073,146.4695,swarm_focus,swarm_focus,0.95
special_focus,tank_focus,0.425,0.575,0.104,79.0916,special_focus,tank_focus,0.338101
special_focus,ranged_focus,0.125,0.875,-1.171,96.5777,special_focus,swarm_focus,0.266235
special_focus,swarm_focus,0.0375,0.9625,-1.9889,108.7278,special_focus,swarm_focus,0.525904
special_focus,special_focus,0.0,1.0,-2.6938,114.2438,special_focus,swarm_focus,0.502809
special_focus,upgrade_focus,0.025,0.975,-2.0479,97.4701,special_focus,swarm_focus,0.424374
special_focus,mixed,0.025,0.975,-1.9595,92.3526,special_focus,swarm_focus,0.497153
upgrade_focus,tank_focus,1.0,0.0,2.2428,119.0347,mixed_composition,tank_focus,0.533666
upgrade_focus,ranged_focus,0.7125,0.2875,0.7602,149.7526,mixed_composition,mixed_composition,0.562071
upgrade_focus,swarm_focus,0.9875,0.0125,2.3161,162.3103,mixed_composition,swarm_focus,0.525904
upgrade_focus,special_focus,0.0625,0.9375,-1.6348,170.4045,mixed_composition,swarm_focus,0.544639
upgrade_focus,upgrade_focus,0.6125,0.3875,0.322,157.6512,mixed_composition,swarm_focus,0.521961
upgrade_focus,mixed,0.65,0.35,0.4091,153.548,mixed_composition,swarm_focus,0.535287
mixed,tank_focus,1.0,0.0,2.4083,124.4615,mixed_composition,tank_focus,0.526798
mixed,ranged_focus,0.7,0.3,0.6684,149.7117,mixed_composition,mixed_composition,0.551093
mixed,swarm_focus,0.9875,0.0125,2.5482,159.2199,mixed_composition,swarm_focus,0.525904
mixed,special_focus,0.1125,0.8875,-1.4667,171.1538,mixed_composition,swarm_focus,0.531034
mixed,upgrade_focus,0.6625,0.3375,0.5026,162.9119,mixed_composition,swarm_focus,0.531886
mixed,mixed,0.675,0.325,0.6737,159.0684,mixed_composition,swarm_focus,0.542228
