match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,137.0,3,2,0,raspberry_full_control
1,2,raspberry,179.0,3,3,0,raspberry_full_control
2,1,raspberry,164.0,3,2,0,raspberry_full_control
2,2,raspberry,167.0,3,3,0,raspberry_full_control
3,1,raspberry,180.0,2,1,1,time
3,2,raspberry,125.5,3,1,1,raspberry_full_control
4,1,raspberry,127.5,3,1,0,raspberry_full_control
4,2,raspberry,180.0,2,3,0,time
5,1,raspberry,157.5,3,1,0,raspberry_full_control
5,2,raspberry,131.5,3,2,0,raspberry_full_control
6,1,blueberry,157.5,-3,0,0,blueberry_full_control
6,2,blueberry,120.0,-3,0,0,blueberry_full_control
7,1,blueberry,180.0,-3,0,1,time
7,2,blueberry,116.0,-3,0,1,blueberry_full_control
8,1,raspberry,161.0,3,0,0,raspberry_full_control
8,2,raspberry,148.5,3,1,0,raspberry_full_control
9,1,raspberry,180.0,1,2,1,time
9,2,raspberry,131.5,3,3,1,raspberry_full_control
10,1,raspberry,125.5,3,1,0,raspberry_full_control
10,2,raspberry,126.0,3,2,0,raspberry_full_control
11,1,raspberry,136.5,3,1,0,raspberry_full_control
11,2,blueberry,151.0,-3,1,0,blueberry_full_control
11,3,raspberry,128.5,3,3,0,raspberry_full_control
12,1,raspberry,180.0,1,3,0,time
12,2,raspberry,165.0,3,4,0,raspberry_full_control
13,1,raspberry,180.0,1,2,0,time
13,2,raspberry,157.0,3,2,0,raspberry_full_control
14,1,raspberry,180.0,3,2,1,time
14,2,blueberry,176.5,-3,2,1,blueberry_full_control
14,3,raspberry,180.0,3,3,1,time
15,1,raspberry,155.0,3,1,0,raspberry_full_control
15,2,raspberry,165.0,3,2,0,raspberry_full_control
16,1,raspberry,180.0,3,0,1,time
16,2,blueberry,175.5,-3,0,1,blueberry_full_control
16,3,blueberry,123.0,-3,0,1,blueberry_full_control
17,1,raspberry,180.0,0,2,1,time
17,2,raspberry,180.0,3,3,1,time
18,1,raspberry,165.5,3,0,0,raspberry_full_control
18,2,raspberry,133.5,3,0,0,raspberry_full_control
19,1,raspberry,180.0,1,2,1,time
19,2,raspberry,139.5,3,2,1,raspberry_full_control
20,1,blueberry,180.0,-2,1,1,time
20,2,raspberry,180.0,2,2,1,time
20,3,raspberry,157.0,3,3,2,raspberry_full_control
21,1,blueberry,153.0,-3,0,0,blueberry_full_control
21,2,raspberry,150.5,3,0,0,raspberry_full_control
21,3,blueberry,180.0,-3,1,0,time
22,1,blueberry,111.0,-3,0,0,blueberry_full_control
22,2,blueberry,150.5,-3,0,0,blueberry_full_control
23,1,raspberry,180.0,1,0,2,time
23,2,blueberry,125.5,-3,0,2,blueberry_full_control
23,3,blueberry,106.0,-3,0,2,blueberry_full_control
24,1,raspberry,150.0,3,0,0,raspberry_full_control
24,2,blueberry,180.0,-3,0,3,time
24,3,blueberry,98.0,-3,0,3,blueberry_full_control
25,1,raspberry,180.0,3,1,1,time
25,2,raspberry,132.5,3,1,1,raspberry_full_control
26,1,raspberry,150.0,3,1,0,raspberry_full_control
26,2,blueberry,131.5,-3,1,0,blueberry_full_control
26,3,raspberry,135.0,3,2,0,raspberry_full_control
27,1,raspberry,180.0,3,1,0,time
27,2,blueberry,180.0,0,2,2,time
27,3,raspberry,180.0,2,3,3,time
28,1,blueberry,136.5,-3,0,0,blueberry_full_control
28,2,blueberry,132.0,-3,0,1,blueberry_full_control
29,1,raspberry,180.0,3,2,0,time
29,2,raspberry,139.0,3,2,0,raspberry_full_control
30,1,raspberry,128.0,3,1,0,raspberry_full_control
30,2,blueberry,148.5,-3,1,0,blueberry_full_control
30,3,raspberry,180.0,2,3,0,time
31,1,blueberry,126.0,-3,0,0,blueberry_full_control
31,2,blueberry,130.0,-3,0,0,blueberry_full_control
32,1,raspberry,165.5,3,1,0,raspberry_full_control
32,2,blueberry,132.0,-3,1,0,blueberry_full_control
32,3,raspberry,148.5,3,2,0,raspberry_full_control
33,1,raspberry,155.5,3,1,0,raspberry_full_control
33,2,raspberry,180.0,2,3,0,time
34,1,raspberry,180.0,2,1,0,time
34,2,raspberry,132.5,3,1,0,raspberry_full_control
35,1,raspberry,179.5,3,1,0,raspberry_full_control
35,2,blueberry,180.0,-3,1,0,time
35,3,raspberry,180.0,3,3,0,time
36,1,raspberry,138.0,3,1,0,raspberry_full_control
36,2,blueberry,118.0,-3,1,0,blueberry_full_control
36,3,raspberry,131.5,3,1,0,raspberry_full_control
37,1,raspberry,167.5,3,2,0,raspberry_full_control
37,2,raspberry,180.0,2,4,0,time
38,1,raspberry,131.0,3,0,0,raspberry_full_control
38,2,blueberry,108.0,-3,0,0,blueberry_full_control
38,3,raspberry,180.0,2,2,1,time
39,1,raspberry,153.0,3,1,0,raspberry_full_control
39,2,raspberry,155.0,3,3,0,raspberry_full_control
40,1,raspberry,177.5,3,1,0,raspberry_full_control
40,2,raspberry,180.0,3,3,0,time
41,1,raspberry,180.0,3,1,0,time
41,2,raspberry,180.0,1,2,0,time
42,1,raspberry,180.0,2,1,0,time
42,2,blueberry,133.5,-3,1,0,blueberry_full_control
42,3,blueberry,120.5,-3,1,0,blueberry_full_control
43,1,blueberry,143.5,-3,0,0,blueberry_full_control
43,2,blueberry,180.0,0,1,2,time
44,1,blueberry,116.5,-3,0,0,blueberry_full_control
44,2,raspberry,140.0,3,2,0,raspberry_full_control
44,3,raspberry,151.5,3,4,0,raspberry_full_control
45,1,raspberry,171.5,3,1,0,raspberry_full_control
45,2,raspberry,147.0,3,1,1,raspberry_full_control
46,1,raspberry,125.5,3,0,0,raspberry_full_control
46,2,raspberry,180.0,3,1,0,time
47,1,raspberry,140.5,3,1,0,raspberry_full_control
47,2,blueberry,180.0,-3,2,1,time
47,3,raspberry,119.5,3,3,1,raspberry_full_control
48,1,blueberry,159.0,-3,0,0,blueberry_full_control
48,2,raspberry,180.0,1,1,0,time
48,3,raspberry,130.0,3,1,0,raspberry_full_control
49,1,raspberry,136.5,3,2,0,raspberry_full_control
49,2,raspberry,149.0,3,3,0,raspberry_full_control
50,1,raspberry,134.5,3,0,0,raspberry_full_control
50,2,blueberry,180.0,-2,0,0,time
50,3,blueberry,180.0,-2,1,0,time
51,1,raspberry,157.5,3,2,0,raspberry_full_control
51,2,raspberry,146.0,3,3,0,raspberry_full_control
52,1,raspberry,180.0,2,1,0,time
52,2,raspberry,147.5,3,1,0,raspberry_full_control
53,1,blueberry,150.0,-3,0,0,blueberry_full_control
53,2,raspberry,135.5,3,1,0,raspberry_full_control
