match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,180.0,-3,0,0,time
1,2,blueberry,180.0,-3,0,0,time
2,1,blueberry,126.5,-3,0,0,blueberry_full_control
2,2,blueberry,180.0,-3,0,0,time
3,1,blueberry,175.5,-3,0,0,blueberry_full_control
3,2,raspberry,180.0,2,0,0,time
3,3,blueberry,130.0,-3,0,0,blueberry_full_control
4,1,blueberry,155.5,-3,0,0,blueberry_full_control
4,2,blueberry,151.5,-3,0,0,blueberry_full_control
5,1,blueberry,127.0,-3,0,0,blueberry_full_control
5,2,blueberry,180.0,-2,0,0,time
6,1,blueberry,180.0,-3,0,0,time
6,2,blueberry,180.0,-3,0,0,time
7,1,raspberry,180.0,1,0,0,time
7,2,blueberry,127.0,-3,0,0,blueberry_full_control
7,3,blueberry,180.0,-2,0,0,time
8,1,blueberry,126.5,-3,0,0,blueberry_full_control
8,2,blueberry,135.0,-3,0,0,blueberry_full_control
9,1,blueberry,165.5,-3,0,0,blueberry_full_control
9,2,blueberry,180.0,-2,0,0,time
10,1,blueberry,131.5,-3,0,0,blueberry_full_control
10,2,blueberry,180.0,-3,0,0,time
11,1,blueberry,136.0,-3,0,0,blueberry_full_control
11,2,raspberry,138.5,3,0,0,raspberry_full_control
11,3,blueberry,164.0,-3,0,0,blueberry_full_control
12,1,blueberry,135.0,-3,0,0,blueberry_full_control
12,2,blueberry,126.0,-3,0,0,blueberry_full_control
13,1,blueberry,134.5,-3,0,0,blueberry_full_control
13,2,blueberry,180.0,-3,0,0,time
14,1,raspberry,180.0,3,0,0,time
14,2,raspberry,180.0,3,0,0,time
15,1,blueberry,164.5,-3,0,0,blueberry_full_control
15,2,blueberry,146.0,-3,0,0,blueberry_full_control
16,1,raspberry,92.0,1,0,0,raspberry_full_control
16,2,blueberry,136.0,-3,0,0,blueberry_full_control
16,3,blueberry,146.5,-3,0,0,blueberry_full_control
17,1,blueberry,139.0,-3,0,0,blueberry_full_control
17,2,blueberry,153.0,-3,0,0,blueberry_full_control
18,1,blueberry,132.0,-3,0,0,blueberry_full_control
18,2,blueberry,125.0,-3,0,0,blueberry_full_control
19,1,blueberry,180.0,-1,0,0,time
19,2,blueberry,180.0,-2,0,0,time
20,1,raspberry,65.0,1,0,0,raspberry_full_control
20,2,raspberry,180.0,2,0,0,time
21,1,blueberry,124.5,-3,0,0,blueberry_full_control
21,2,blueberry,135.0,-3,0,0,blueberry_full_control
22,1,blueberry,140.5,-3,0,0,blueberry_full_control
22,2,raspberry,180.0,1,0,0,time
22,3,blueberry,119.5,-3,0,0,blueberry_full_control
23,1,blueberry,136.0,-3,0,0,blueberry_full_control
23,2,blueberry,180.0,-1,0,0,time
24,1,blueberry,143.5,-3,0,0,blueberry_full_control
24,2,blueberry,180.0,-3,0,0,time
25,1,raspberry,180.0,3,0,0,time
25,2,blueberry,144.0,-3,0,0,blueberry_full_control
25,3,blueberry,145.0,-3,0,0,blueberry_full_control
26,1,raspberry,180.0,3,0,0,time
26,2,blueberry,130.5,-3,0,0,blueberry_full_control
26,3,blueberry,147.0,-3,0,0,blueberry_full_control
27,1,blueberry,143.0,-3,0,0,blueberry_full_control
27,2,blueberry,180.0,-3,0,0,time
28,1,blueberry,147.0,-3,0,0,blueberry_full_control
28,2,blueberry,180.0,-2,0,0,time
29,1,blueberry,156.0,-3,0,0,blueberry_full_control
29,2,blueberry,175.5,-3,0,0,blueberry_full_control
30,1,raspberry,180.0,2,0,0,time
30,2,blueberry,154.5,-3,0,0,blueberry_full_control
30,3,blueberry,150.5,-3,0,0,blueberry_full_control
