team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,9052,113.15,0.6986,1686,21.075,7336,264543.83,3306.7978,5431499.25,0.0,19649,69875,215626.0,23.8208,2594,22436,27
raspberry,macaron,마카롱,992,12.4,0.0766,0,0.0,828,0.0,0.0,85822.61,581976.55,0,1068,16081.0,16.2107,0,290,18
raspberry,pie,파이,2329,29.1125,0.1797,1071,13.3875,1740,138027.17,1725.3396,302151.1,0.0,4645,2474,66330.5,28.4802,584,1090,21
raspberry,scone,스콘,181,2.2625,0.014,662,8.275,107,78105.18,976.3148,46151.03,0.0,1204,525,9356.5,51.6934,109,334,21
raspberry,tart,타르트,403,5.0375,0.0311,1264,15.8,168,287218.59,3590.2323,54082.91,0.0,5136,385,26055.5,64.6538,753,223,17
blueberry,baumkuchen,바움쿠헨,284,3.55,0.0272,125,1.5625,164,55116.92,688.9615,50952.19,0.0,1915,2465,9421.0,33.1725,341,152,7
blueberry,pannacotta,판나코타,107,1.3375,0.0103,179,2.2375,89,126071.64,1575.8955,1028.22,0.0,78,39,1083.0,10.1215,8,35,10
blueberry,pie,파이,5369,67.1125,0.5143,4380,54.75,2400,2145386.41,26817.3301,258446.76,0.0,41257,8948,205595.5,38.2931,14105,1206,16
blueberry,scone,스콘,1369,17.1125,0.1311,3199,39.9875,546,1532874.5,19160.9313,147024.01,0.0,10988,6194,61635.5,45.0223,2879,985,12
blueberry,tarte_tatin,타르트·타탱,3310,41.375,0.3171,2296,28.7,1562,2060257.43,25753.2179,310443.59,0.0,20089,12988,135310.5,40.8793,7040,1662,13
