team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,7882,98.525,0.7135,1035,12.9375,7476,204143.14,2551.7892,5257188.75,0.0,14985,76708,104263.5,13.2281,1418,24863,21
raspberry,macaron,마카롱,878,10.975,0.0795,0,0.0,824,0.0,0.0,77491.55,346723.7,0,1205,7514.5,8.5587,0,394,16
raspberry,pie,파이,1854,23.175,0.1678,886,11.075,1717,135586.5,1694.8312,270014.23,0.0,4478,2790,26416.5,14.2484,451,1487,17
raspberry,scone,스콘,124,1.55,0.0112,300,3.75,106,38939.12,486.7391,41024.16,0.0,593,414,3076.5,24.8105,47,261,18
raspberry,tart,타르트,309,3.8625,0.028,924,11.55,248,180993.43,2262.4178,74762.18,0.0,2966,659,9269.5,29.9984,296,427,16
blueberry,baumkuchen,바움쿠헨,1393,17.4125,0.134,470,5.875,727,264874.8,3310.935,226331.16,0.0,9162,11448,50477.5,36.2365,1918,567,13
blueberry,pannacotta,판나코타,818,10.225,0.0787,1124,14.05,641,796363.57,9954.5446,4523.46,0.0,611,143,10703.5,13.085,110,94,8
blueberry,pie,파이,6224,77.8,0.5987,5915,73.9375,1976,2920483.46,36506.0433,226627.03,0.0,55980,7603,297149.0,47.7424,19945,994,10
blueberry,scone,스콘,674,8.425,0.0648,1864,23.3,148,873869.32,10923.3665,44656.82,0.0,6263,1710,39429.5,58.5007,1629,244,10
blueberry,tarte_tatin,타르트·타탱,1287,16.0875,0.1238,998,12.475,264,864889.72,10811.1214,57523.71,0.0,9760,2118,75236.5,58.4588,3830,313,7
