match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
2,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
3,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
4,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
5,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
6,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
7,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
8,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
9,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
10,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
11,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
12,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
13,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
14,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
15,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
16,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
17,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
18,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
19,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
20,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
21,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
22,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
23,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
24,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
25,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
26,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
27,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
28,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
29,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
30,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
31,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
32,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
33,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
34,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
35,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
36,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
37,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
38,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
39,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
40,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
41,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
42,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
43,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
44,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
45,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
46,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
47,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
48,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
49,blueberry,1,2,3,0,1,mixed_composition,swarm_focus
50,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
51,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
52,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
53,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
54,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
55,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
56,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
57,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
58,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
59,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
60,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
61,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
62,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
63,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
64,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
65,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
66,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
67,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
68,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
69,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
70,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
71,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
72,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
73,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
74,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
75,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
76,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
77,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
78,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
79,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
80,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
