match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,180.0,3,0,0,time
1,2,raspberry,180.0,3,0,0,time
2,1,raspberry,135.5,2,0,0,raspberry_full_control
2,2,blueberry,147.0,-3,0,0,blueberry_full_control
2,3,raspberry,178.0,3,0,0,raspberry_full_control
3,1,blueberry,180.0,-2,0,0,time
3,2,raspberry,134.5,3,0,0,raspberry_full_control
3,3,raspberry,139.0,3,0,0,raspberry_full_control
4,1,raspberry,104.0,2,0,0,raspberry_full_control
4,2,raspberry,132.0,3,0,0,raspberry_full_control
5,1,raspberry,156.0,3,0,0,raspberry_full_control
5,2,raspberry,98.5,3,0,0,raspberry_full_control
6,1,raspberry,180.0,2,0,0,time
6,2,raspberry,166.0,3,0,0,raspberry_full_control
7,1,raspberry,162.0,3,0,0,raspberry_full_control
7,2,blueberry,116.0,-3,0,0,blueberry_full_control
7,3,blueberry,63.5,-1,0,0,raspberry_full_control
8,1,blueberry,152.5,-3,0,0,blueberry_full_control
8,2,blueberry,169.5,-3,0,0,blueberry_full_control
9,1,raspberry,180.0,3,0,0,time
9,2,blueberry,180.0,-2,0,0,time
9,3,blueberry,180.0,-1,0,0,time
10,1,raspberry,69.5,1,0,0,raspberry_full_control
10,2,raspberry,180.0,1,0,0,time
11,1,blueberry,147.5,-3,0,0,blueberry_full_control
11,2,raspberry,180.0,2,0,0,time
11,3,blueberry,180.0,-2,0,0,time
12,1,raspberry,129.0,2,0,0,raspberry_full_control
12,2,blueberry,125.5,-3,0,0,blueberry_full_control
12,3,blueberry,175.5,-3,0,0,blueberry_full_control
13,1,raspberry,180.0,0,0,0,time
13,2,raspberry,177.5,3,0,0,raspberry_full_control
14,1,raspberry,180.0,3,0,0,time
14,2,raspberry,173.5,3,0,0,raspberry_full_control
15,1,blueberry,167.0,-3,0,0,blueberry_full_control
15,2,raspberry,180.0,3,0,0,time
15,3,raspberry,63.5,1,0,0,raspberry_full_control
16,1,raspberry,180.0,3,0,0,time
16,2,raspberry,85.0,3,0,0,raspberry_full_control
17,1,raspberry,161.0,3,0,0,raspberry_full_control
17,2,raspberry,180.0,3,0,0,time
18,1,raspberry,180.0,2,0,0,time
18,2,blueberry,133.0,-3,0,0,blueberry_full_control
18,3,blueberry,63.5,-1,0,0,raspberry_full_control
19,1,raspberry,135.0,2,0,0,raspberry_full_control
19,2,raspberry,127.5,3,0,0,raspberry_full_control
20,1,raspberry,180.0,3,0,0,time
20,2,blueberry,146.5,-3,0,0,blueberry_full_control
20,3,raspberry,151.0,3,0,0,raspberry_full_control
21,1,raspberry,66.5,1,0,0,raspberry_full_control
21,2,raspberry,74.0,3,0,0,raspberry_full_control
22,1,raspberry,180.0,3,0,0,time
22,2,raspberry,180.0,3,0,0,time
23,1,blueberry,180.0,-3,0,0,time
23,2,raspberry,86.0,3,0,0,raspberry_full_control
23,3,raspberry,148.5,2,0,0,raspberry_full_control
24,1,blueberry,143.0,-3,0,0,blueberry_full_control
24,2,raspberry,180.0,3,0,0,time
24,3,blueberry,125.5,-3,0,0,blueberry_full_control
25,1,blueberry,180.0,-3,0,0,time
25,2,blueberry,136.0,-3,0,0,blueberry_full_control
26,1,raspberry,180.0,3,0,0,time
26,2,blueberry,147.0,-3,0,0,blueberry_full_control
26,3,raspberry,178.5,3,0,0,raspberry_full_control
27,1,raspberry,155.5,3,0,0,raspberry_full_control
27,2,raspberry,74.0,1,0,0,raspberry_full_control
28,1,blueberry,136.5,-3,0,0,blueberry_full_control
28,2,raspberry,173.5,3,0,0,raspberry_full_control
28,3,raspberry,180.0,3,0,0,time
29,1,raspberry,113.0,2,0,0,raspberry_full_control
29,2,raspberry,173.0,3,0,0,raspberry_full_control
30,1,blueberry,143.0,-3,0,0,blueberry_full_control
30,2,blueberry,63.5,-2,0,0,raspberry_full_control
31,1,blueberry,180.0,-3,0,0,time
31,2,raspberry,106.0,3,0,0,raspberry_full_control
31,3,raspberry,154.0,3,0,0,raspberry_full_control
32,1,raspberry,180.0,0,0,0,time
32,2,blueberry,164.0,-3,0,0,blueberry_full_control
32,3,blueberry,143.0,-3,0,0,blueberry_full_control
33,1,raspberry,175.0,3,0,0,raspberry_full_control
33,2,raspberry,83.0,3,0,0,raspberry_full_control
34,1,blueberry,120.5,-3,0,0,blueberry_full_control
34,2,blueberry,63.5,-1,0,0,raspberry_full_control
35,1,raspberry,178.5,3,0,0,raspberry_full_control
35,2,blueberry,165.0,-3,0,0,blueberry_full_control
35,3,blueberry,180.0,-3,0,0,time
36,1,raspberry,180.0,3,0,0,time
