team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,2371,29.6375,0.1999,496,6.2,2327,69683.65,871.0457,1895649.04,0.0,5184,21583,30911.5,13.0373,296,2680,11
raspberry,macaron,마카롱,2860,35.75,0.2412,0,0.0,3050,0.0,0.0,317241.91,594508.73,0,4488,20888.5,7.3037,0,1017,12
raspberry,pie,파이,4265,53.3125,0.3596,1392,17.4,4125,150770.21,1884.6276,654593.74,0.0,5179,5397,41884.5,9.8205,340,1431,10
raspberry,scone,스콘,722,9.025,0.0609,1367,17.0875,670,137278.89,1715.9861,255364.77,0.0,2174,1525,10727.5,14.858,127,499,11
raspberry,tart,타르트,1641,20.5125,0.1384,1597,19.9625,1433,285738.35,3571.7293,430151.6,0.0,8223,2443,27576.0,16.8044,963,735,11
blueberry,baumkuchen,바움쿠헨,775,9.6875,0.0752,212,2.65,508,103644.0,1295.5501,154319.99,0.0,3598,5632,24700.5,31.8716,376,284,7
blueberry,pannacotta,판나코타,2838,35.475,0.2752,6169,77.1125,2459,1680719.35,21008.9919,48689.49,0.0,2078,1355,37688.5,13.28,259,369,9
blueberry,pie,파이,5978,74.725,0.5797,3803,47.5375,3675,1172442.55,14655.5319,370373.78,0.0,22968,11864,205245.5,34.3335,4366,879,7
blueberry,scone,스콘,141,1.7625,0.0137,862,10.775,59,214044.97,2675.5621,17542.52,0.0,1663,476,8208.5,58.2163,277,54,8
blueberry,tarte_tatin,타르트·타탱,580,7.25,0.0562,559,6.9875,229,382150.19,4776.8774,52545.31,0.0,5129,1433,32764.0,56.4897,1084,140,5
