team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,2702,33.775,0.1926,1086,13.575,1371,111415.15,1392.6894,1697212.84,0.0,8336,27861,113930.5,42.1652,2555,1368,11
raspberry,macaron,마카롱,3437,42.9625,0.245,0,0.0,2642,0.0,0.0,318445.74,1154382.28,0,6134,91258.0,26.5516,0,521,12
raspberry,pie,파이,5062,63.275,0.3608,6496,81.2,1988,491483.19,6143.5399,446539.27,0.0,17476,5614,250014.5,49.3905,8026,1111,15
raspberry,scone,스콘,944,11.8,0.0673,2258,28.225,162,185328.68,2316.6084,70556.18,0.0,3298,652,62266.5,65.9603,1081,237,14
raspberry,tart,타르트,1884,23.55,0.1343,3927,49.0875,280,672803.18,8410.0398,94602.66,0.0,15692,1251,124057.0,65.8477,5947,496,13
blueberry,baumkuchen,바움쿠헨,366,4.575,0.0249,38,0.475,336,30491.58,381.1448,98802.34,0.0,1043,3511,4292.5,11.7281,84,1043,16
blueberry,pannacotta,판나코타,226,2.825,0.0153,940,11.75,219,262225.68,3277.8211,5618.54,0.0,170,159,1182.5,5.2323,19,106,20
blueberry,pie,파이,13645,170.5625,0.9267,4816,60.2,12937,1969592.38,24619.9047,1262730.19,0.0,37732,38369,153327.5,11.2369,3387,15219,24
blueberry,scone,스콘,169,2.1125,0.0115,490,6.125,152,155565.78,1944.5723,38309.56,0.0,1153,1170,3576.5,21.1627,103,475,15
blueberry,tarte_tatin,타르트·타탱,319,3.9875,0.0217,159,1.9875,293,209481.26,2618.5158,55569.57,0.0,1414,1593,6119.5,19.1834,140,766,17
