team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,2616,32.7,0.1935,598,7.475,2036,92640.24,1158.003,1872084.29,0.0,6875,23943,72064.0,27.5474,1072,2541,11
raspberry,macaron,마카롱,3225,40.3125,0.2386,0,0.0,2907,0.0,0.0,347169.63,973573.51,0,5463,58697.0,18.2006,0,921,12
raspberry,pie,파이,4953,61.9125,0.3664,2150,26.875,3704,259714.5,3246.4313,676861.95,0.0,8777,6178,138588.0,27.9806,1914,1433,14
raspberry,scone,스콘,867,10.8375,0.0641,1908,23.85,502,233161.78,2914.5222,223729.56,0.0,3565,1567,35535.5,40.9867,590,470,10
raspberry,tart,타르트,1858,23.225,0.1374,3113,38.9125,861,625500.97,7818.7621,288185.09,0.0,16537,2219,88213.5,47.4777,3907,761,13
blueberry,baumkuchen,바움쿠헨,1662,20.775,0.1474,328,4.1,1289,169913.04,2123.913,383454.44,0.0,5891,13419,34243.0,20.6035,579,2116,12
blueberry,pannacotta,판나코타,893,11.1625,0.0792,2429,30.3625,800,678492.32,8481.154,21011.83,0.0,608,603,7488.5,8.3858,71,247,10
blueberry,pie,파이,6348,79.35,0.5629,2695,33.6875,4775,904692.27,11308.6533,469881.42,0.0,17608,13202,134485.0,21.1854,2541,2860,12
blueberry,scone,스콘,858,10.725,0.0761,3308,41.35,558,859010.15,10737.6268,147350.39,0.0,6723,3954,31007.0,36.1387,1056,972,12
blueberry,tarte_tatin,타르트·타탱,1517,18.9625,0.1345,1250,15.625,955,795922.76,9949.0345,189319.4,0.0,8540,4576,51940.0,34.2386,1879,1288,14
