team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,736,9.2,0.0709,132,1.65,396,21226.75,265.3344,407622.81,0.0,1577,6035,27964.0,37.9946,245,220,7
raspberry,macaron,마카롱,1512,18.9,0.1456,0,0.0,1149,0.0,0.0,143397.78,441988.98,0,2573,36007.0,23.8142,0,145,6
raspberry,pie,파이,3489,43.6125,0.3361,1123,14.0375,2017,127397.9,1592.4737,392946.06,0.0,4391,4334,132424.5,37.9549,1384,327,9
raspberry,scone,스콘,1426,17.825,0.1374,2938,36.725,490,376290.4,4703.63,262142.38,0.0,5756,1837,85338.5,59.8447,1730,348,11
raspberry,tart,타르트,3219,40.2375,0.3101,4426,55.325,836,828568.99,10357.1124,303901.93,0.0,28481,2582,198206.0,61.5738,10798,642,10
blueberry,baumkuchen,바움쿠헨,1521,19.0125,0.1596,206,2.575,1432,86196.52,1077.4564,417881.6,0.0,3020,13599,17656.0,11.6082,191,4086,17
blueberry,pannacotta,판나코타,686,8.575,0.072,1326,16.575,663,312977.88,3912.2235,32697.32,0.0,298,1204,3625.0,5.2843,29,749,15
blueberry,pie,파이,4920,61.5,0.5162,992,12.4,4593,282305.71,3528.8214,445825.19,0.0,5597,13335,58116.5,11.8123,608,4672,18
blueberry,scone,스콘,652,8.15,0.0684,1592,19.9,602,351510.56,4393.882,149677.06,0.0,2752,4259,12496.0,19.1656,241,1469,16
blueberry,tarte_tatin,타르트·타탱,1753,21.9125,0.1839,772,9.65,1627,477020.29,5962.7537,307402.87,0.0,5694,7808,29230.5,16.6746,613,3181,19
