team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,909,11.3625,0.0847,223,2.7875,384,21024.25,262.8032,454202.89,0.0,1601,7704,41066.0,45.1771,312,135,5
raspberry,macaron,마카롱,1747,21.8375,0.1627,0,0.0,1022,0.0,0.0,123454.81,353885.96,0,2378,55415.0,31.7201,0,62,3
raspberry,pie,파이,4035,50.4375,0.3758,3347,41.8375,1326,232461.5,2905.7687,289027.18,0.0,8450,4195,214977.5,53.2782,3923,246,5
raspberry,scone,스콘,1287,16.0875,0.1199,2756,34.45,141,254928.53,3186.6066,64699.14,0.0,4390,338,93764.0,72.8547,1993,76,6
raspberry,tart,타르트,2760,34.5,0.257,5966,74.575,180,781833.66,9772.9208,67028.95,0.0,26652,516,207676.0,75.2449,13407,73,5
blueberry,baumkuchen,바움쿠헨,279,3.4875,0.0223,35,0.4375,279,14881.69,186.0211,80937.79,0.0,522,2923,1689.5,6.0556,39,998,15
blueberry,pannacotta,판나코타,206,2.575,0.0165,665,8.3125,206,157574.51,1969.6814,9625.21,0.0,115,344,458.0,2.2233,6,205,13
blueberry,pie,파이,11587,144.8375,0.9276,1960,24.5,11507,684164.1,8552.0512,1114907.79,0.0,13220,35346,53233.5,4.5942,505,17346,17
blueberry,scone,스콘,127,1.5875,0.0102,306,3.825,126,61423.61,767.7952,31017.33,0.0,476,963,1209.5,9.5236,18,379,15
blueberry,tarte_tatin,타르트·타탱,293,3.6625,0.0235,87,1.0875,289,80369.06,1004.6133,53759.81,0.0,798,1517,2733.5,9.3294,24,707,14
