team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,751,9.3875,0.0741,89,1.1125,466,15349.2,191.865,424059.6,0.0,1139,4540,25828.0,34.3915,173,228,7
raspberry,macaron,마카롱,1380,17.25,0.1361,0,0.0,1025,0.0,0.0,117392.16,378785.89,0,1733,32184.0,23.3217,0,131,6
raspberry,pie,파이,3351,41.8875,0.3306,699,8.7375,2060,92181.09,1152.2637,375130.74,0.0,3111,3635,126007.5,37.603,881,288,7
raspberry,scone,스콘,1455,18.1875,0.1435,2658,33.225,588,335398.2,4192.4775,288570.57,0.0,5090,1768,77574.5,53.3158,1352,425,13
raspberry,tart,타르트,3200,40.0,0.3157,4335,54.1875,1067,828826.75,10360.3344,367651.88,0.0,29656,2579,186055.0,58.1422,10521,565,11
blueberry,baumkuchen,바움쿠헨,1385,17.3125,0.1533,267,3.3375,1254,93583.09,1169.7887,388847.66,0.0,2551,12714,20780.5,15.004,195,3372,16
blueberry,pannacotta,판나코타,774,9.675,0.0856,1415,17.6875,743,348415.34,4355.1917,41130.2,0.0,320,1601,5060.5,6.5381,22,934,16
blueberry,pie,파이,4789,59.8625,0.5299,948,11.85,4295,264314.17,3303.9271,440153.58,0.0,4206,13388,69219.5,14.4539,549,4721,17
blueberry,scone,스콘,710,8.875,0.0786,1725,21.5625,624,405130.18,5064.1273,164638.24,0.0,2741,5149,14553.0,20.4972,292,1744,19
blueberry,tarte_tatin,타르트·타탱,1379,17.2375,0.1526,851,10.6375,1185,461362.18,5767.0272,236985.57,0.0,4437,6144,28613.5,20.7495,579,2156,18
