team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,422,5.275,0.043,97,1.2125,527,21966.23,274.5779,566162.45,0.0,1607,8279,7912.5,18.75,73,1822,13
raspberry,macaron,마카롱,7622,95.275,0.7773,0,0.0,11255,0.0,0.0,1611292.16,1589358.38,0,26006,97319.0,12.7682,0,8790,23
raspberry,pie,파이,1270,15.875,0.1295,785,9.8125,1504,131951.65,1649.3956,311040.82,0.0,4267,3651,19000.0,14.9606,411,2009,15
raspberry,scone,스콘,149,1.8625,0.0152,406,5.075,156,53448.47,668.1059,65170.22,0.0,802,790,3897.0,26.1544,59,373,11
raspberry,tart,타르트,343,4.2875,0.035,631,7.8875,321,147056.5,1838.2062,111414.37,0.0,2329,1220,7788.5,22.707,158,651,15
blueberry,baumkuchen,바움쿠헨,1393,17.4125,0.1434,510,6.375,384,201657.02,2520.7128,136162.4,0.0,7035,4148,61515.0,44.1601,1799,172,9
blueberry,pannacotta,판나코타,763,9.5375,0.0786,2111,26.3875,514,288664.03,3608.3003,3953.46,0.0,489,84,13132.5,17.2117,74,20,6
blueberry,pie,파이,5576,69.7,0.5741,6992,87.4,1217,1091400.96,13642.512,145123.87,0.0,22738,3058,249603.5,44.7639,7769,261,7
blueberry,scone,스콘,602,7.525,0.062,2618,32.725,56,318782.53,3984.7816,18630.61,0.0,3296,463,35004.0,58.1462,1163,54,5
blueberry,tarte_tatin,타르트·타탱,1379,17.2375,0.142,1532,19.15,237,764575.49,9557.1937,50552.51,0.0,6388,1252,71193.0,51.6265,2840,194,8
