match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,blueberry,0,2,2,0,0,special_focus,swarm_focus
2,blueberry,0,2,2,0,0,special_focus,mixed_composition
3,blueberry,0,2,2,0,0,special_focus,swarm_focus
4,blueberry,1,2,3,0,0,special_focus,mixed_composition
5,blueberry,0,2,2,0,0,special_focus,mixed_composition
6,blueberry,0,2,2,0,0,special_focus,swarm_focus
7,blueberry,0,2,2,0,0,special_focus,mixed_composition
8,blueberry,0,2,2,0,0,special_focus,swarm_focus
9,raspberry,2,0,2,0,0,special_focus,mixed_composition
10,blueberry,0,2,2,0,0,special_focus,swarm_focus
11,raspberry,2,1,3,0,1,special_focus,ranged_focus
12,blueberry,1,2,3,0,0,special_focus,swarm_focus
13,blueberry,0,2,2,0,0,special_focus,swarm_focus
14,blueberry,1,2,3,0,0,special_focus,mixed_composition
15,blueberry,0,2,2,0,0,special_focus,mixed_composition
16,blueberry,0,2,2,0,0,special_focus,swarm_focus
17,raspberry,2,0,2,0,0,special_focus,ranged_focus
18,blueberry,0,2,2,0,0,special_focus,swarm_focus
19,blueberry,0,2,2,0,0,special_focus,swarm_focus
20,blueberry,0,2,2,0,0,special_focus,mixed_composition
21,blueberry,0,2,2,0,0,special_focus,swarm_focus
22,blueberry,0,2,2,0,0,special_focus,swarm_focus
23,blueberry,0,2,2,0,0,special_focus,swarm_focus
24,blueberry,0,2,2,0,0,special_focus,mixed_composition
25,blueberry,0,2,2,0,0,special_focus,swarm_focus
26,blueberry,1,2,3,0,0,special_focus,swarm_focus
27,blueberry,0,2,2,0,0,special_focus,swarm_focus
28,raspberry,2,1,3,0,0,special_focus,mixed_composition
29,blueberry,0,2,2,0,0,special_focus,mixed_composition
30,blueberry,0,2,2,0,0,special_focus,swarm_focus
31,blueberry,0,2,2,0,0,special_focus,swarm_focus
32,blueberry,0,2,2,0,0,special_focus,mixed_composition
33,blueberry,0,2,2,0,0,special_focus,swarm_focus
34,blueberry,0,2,2,0,0,special_focus,swarm_focus
35,blueberry,1,2,3,0,0,special_focus,mixed_composition
36,blueberry,0,2,2,0,0,special_focus,swarm_focus
37,blueberry,0,2,2,0,0,special_focus,mixed_composition
38,blueberry,0,2,2,0,0,special_focus,swarm_focus
39,blueberry,0,2,2,0,0,special_focus,swarm_focus
40,blueberry,0,2,2,0,0,special_focus,swarm_focus
41,blueberry,0,2,2,0,0,special_focus,mixed_composition
42,blueberry,0,2,2,0,0,special_focus,swarm_focus
43,blueberry,1,2,3,0,0,special_focus,swarm_focus
44,blueberry,0,2,2,0,0,special_focus,swarm_focus
45,blueberry,0,2,2,0,0,special_focus,swarm_focus
46,blueberry,0,2,2,0,0,special_focus,mixed_composition
47,blueberry,0,2,2,0,0,special_focus,mixed_composition
48,blueberry,0,2,2,0,0,special_focus,mixed_composition
49,blueberry,1,2,3,0,0,special_focus,mixed_composition
50,blueberry,0,2,2,0,0,special_focus,mixed_composition
51,blueberry,0,2,2,0,0,special_focus,mixed_composition
52,raspberry,2,0,2,0,0,special_focus,swarm_focus
53,blueberry,0,2,2,0,0,special_focus,swarm_focus
54,blueberry,0,2,2,0,0,special_focus,swarm_focus
55,blueberry,0,2,2,0,0,special_focus,ranged_focus
56,blueberry,0,2,2,0,0,special_focus,mixed_composition
57,blueberry,0,2,2,0,0,special_focus,swarm_focus
58,blueberry,1,2,3,0,0,special_focus,mixed_composition
59,blueberry,0,2,2,0,0,special_focus,mixed_composition
60,blueberry,0,2,2,0,0,special_focus,swarm_focus
61,blueberry,0,2,2,0,0,special_focus,mixed_composition
62,blueberry,1,2,3,0,0,special_focus,swarm_focus
63,blueberry,0,2,2,0,0,special_focus,swarm_focus
64,blueberry,0,2,2,0,0,special_focus,swarm_focus
65,blueberry,0,2,2,0,0,special_focus,mixed_composition
66,blueberry,0,2,2,0,0,special_focus,swarm_focus
67,blueberry,0,2,2,0,0,special_focus,swarm_focus
68,blueberry,0,2,2,0,0,special_focus,mixed_composition
69,blueberry,0,2,2,0,0,special_focus,swarm_focus
70,blueberry,1,2,3,0,0,special_focus,mixed_composition
71,raspberry,2,0,2,0,0,special_focus,ranged_focus
72,blueberry,0,2,2,0,0,special_focus,mixed_composition
73,blueberry,0,2,2,0,0,special_focus,mixed_composition
74,raspberry,2,0,2,0,0,special_focus,mixed_composition
75,blueberry,1,2,3,0,0,special_focus,swarm_focus
76,blueberry,0,2,2,0,0,special_focus,mixed_composition
77,blueberry,0,2,2,0,0,special_focus,swarm_focus
78,blueberry,1,2,3,0,0,special_focus,mixed_composition
79,blueberry,0,2,2,0,0,special_focus,mixed_composition
80,blueberry,1,2,3,0,0,special_focus,swarm_focus
