team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,726,9.075,0.0467,605,7.5625,385,157579.43,1969.7429,992718.06,0.0,11466,18722,51404.0,70.8044,1783,1535,21
raspberry,macaron,마카롱,12143,151.7875,0.7816,0,0.0,12081,0.0,0.0,3252002.84,3733870.49,0,66965,593332.5,48.8621,0,5824,28
raspberry,pie,파이,1873,23.4125,0.1206,4286,53.575,1077,866448.09,10830.6011,305355.35,0.0,27755,3212,110638.0,59.0699,4754,1388,18
raspberry,scone,스콘,247,3.0875,0.0159,744,9.3,103,159560.03,1994.5003,50942.81,0.0,2133,748,17012.5,68.8765,241,260,11
raspberry,tart,타르트,547,6.8375,0.0352,1940,24.25,165,626661.08,7833.2635,58825.09,0.0,9001,845,39059.5,71.4068,1254,402,22
blueberry,baumkuchen,바움쿠헨,6804,85.05,0.5952,2857,35.7125,4830,1626365.23,20329.5653,1492816.95,0.0,54452,44922,163292.0,23.9994,4770,6341,13
blueberry,pannacotta,판나코타,209,2.6125,0.0183,2310,28.875,181,317504.42,3968.8052,1736.15,0.0,170,37,1339.0,6.4067,19,25,13
blueberry,pie,파이,3918,48.975,0.3427,6636,82.95,2467,1608491.52,20106.144,256158.91,0.0,31616,3970,104673.5,26.7161,3890,1058,10
blueberry,scone,스콘,180,2.25,0.0157,1676,20.95,88,213924.09,2674.0512,23549.65,0.0,2157,584,8778.0,48.7667,345,230,14
blueberry,tarte_tatin,타르트·타탱,321,4.0125,0.0281,332,4.15,179,893558.89,11169.4862,35986.97,0.0,2097,842,12428.0,38.7165,385,378,8
