team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,390,4.875,0.026,22,0.275,390,8124.02,101.5502,278283.67,0.0,588,4194,3723.5,9.5474,60,1089,11
raspberry,macaron,마카롱,634,7.925,0.0422,0,0.0,644,0.0,0.0,60292.67,126371.37,0,1009,2774.5,4.3762,0,514,14
raspberry,pie,파이,13522,169.025,0.9006,3073,38.4125,13613,429769.32,5372.1164,2062353.36,0.0,13761,27140,99996.5,7.3951,1739,12027,17
raspberry,scone,스콘,151,1.8875,0.0101,285,3.5625,149,38765.99,484.5749,54180.54,0.0,577,569,2054.0,13.6026,46,235,13
raspberry,tart,타르트,317,3.9625,0.0211,317,3.9625,314,74565.06,932.0633,94237.06,0.0,1730,752,4434.5,13.989,95,374,13
blueberry,baumkuchen,바움쿠헨,1455,18.1875,0.1297,295,3.6875,676,50479.51,630.9939,202815.65,0.0,1868,6322,49874.5,34.278,541,481,13
blueberry,pannacotta,판나코타,773,9.6625,0.0689,1938,24.225,511,276971.06,3462.1382,10139.69,0.0,470,301,14212.5,18.3862,82,65,10
blueberry,pie,파이,6851,85.6375,0.6105,4906,61.325,2778,614732.64,7684.158,281690.89,0.0,13377,8598,253195.5,36.9575,5248,921,15
blueberry,scone,스콘,658,8.225,0.0586,5207,65.0875,56,569952.96,7124.412,19220.19,0.0,5797,479,42853.5,65.1269,2327,141,9
blueberry,tarte_tatin,타르트·타탱,1485,18.5625,0.1323,2764,34.55,146,1037211.13,12965.1391,37357.97,0.0,12152,956,99313.5,66.8778,6041,332,9
