team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,537,6.7125,0.0281,57,0.7125,352,12264.05,153.3006,318936.19,0.0,796,5221,17923.5,33.3771,114,489,10
raspberry,macaron,마카롱,838,10.475,0.0439,0,0.0,625,0.0,0.0,70824.84,257275.49,0,1315,19177.5,22.8848,0,215,10
raspberry,pie,파이,16930,211.625,0.8866,10597,132.4625,8588,1052612.12,13157.6515,1537212.77,0.0,32135,19849,687858.5,40.6296,16153,5549,21
raspberry,scone,스콘,300,3.75,0.0157,804,10.05,72,76425.66,955.3208,32204.65,0.0,1159,204,18161.5,60.5383,351,85,9
raspberry,tart,타르트,490,6.125,0.0257,845,10.5625,150,208204.64,2602.558,48493.49,0.0,4600,348,29692.5,60.5969,1368,199,12
blueberry,baumkuchen,바움쿠헨,388,4.85,0.025,31,0.3875,308,10692.9,133.6613,93753.42,0.0,371,2593,5630.5,14.5116,69,1037,14
blueberry,pannacotta,판나코타,280,3.5,0.0181,1726,21.575,245,287715.07,3596.4384,7640.56,0.0,185,220,2225.0,7.9464,33,139,11
blueberry,pie,파이,14253,178.1625,0.9194,5718,71.475,11624,1109480.37,13868.5046,1178028.06,0.0,21808,34211,200610.5,14.075,5182,15908,21
blueberry,scone,스콘,215,2.6875,0.0139,1558,19.475,111,196646.28,2458.0785,29871.63,0.0,1834,688,8201.0,38.1442,429,330,18
blueberry,tarte_tatin,타르트·타탱,366,4.575,0.0236,754,9.425,200,403137.31,5039.2164,40212.81,0.0,2739,978,15009.0,41.0082,824,572,12
