match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,blueberry,1,2,3,0,0,tank_focus,swarm_focus
2,blueberry,1,2,3,0,0,tank_focus,swarm_focus
3,blueberry,0,2,2,0,0,tank_focus,swarm_focus
4,blueberry,0,2,2,0,0,tank_focus,swarm_focus
5,raspberry,2,1,3,0,0,tank_focus,ranged_focus
6,blueberry,0,2,2,0,0,tank_focus,swarm_focus
7,blueberry,1,2,3,0,0,tank_focus,swarm_focus
8,raspberry,2,0,2,0,0,tank_focus,mixed_composition
9,raspberry,2,1,3,0,0,tank_focus,ranged_focus
10,blueberry,0,2,2,0,0,tank_focus,swarm_focus
11,raspberry,2,0,2,0,0,tank_focus,ranged_focus
12,blueberry,0,2,2,0,0,tank_focus,mixed_composition
13,raspberry,2,0,2,0,0,tank_focus,ranged_focus
14,raspberry,2,0,2,0,0,tank_focus,ranged_focus
15,blueberry,0,2,2,0,0,tank_focus,swarm_focus
16,blueberry,0,2,2,0,0,tank_focus,swarm_focus
17,blueberry,1,2,3,0,0,tank_focus,mixed_composition
18,blueberry,0,2,2,0,0,tank_focus,swarm_focus
19,blueberry,1,2,3,0,0,tank_focus,mixed_composition
20,blueberry,0,2,2,0,0,tank_focus,swarm_focus
21,blueberry,0,2,2,0,0,tank_focus,swarm_focus
22,blueberry,1,2,3,0,0,tank_focus,mixed_composition
23,blueberry,0,2,2,0,0,tank_focus,swarm_focus
24,blueberry,1,2,3,0,0,tank_focus,mixed_composition
25,raspberry,2,0,2,0,0,tank_focus,mixed_composition
26,blueberry,0,2,2,0,0,tank_focus,swarm_focus
27,blueberry,1,2,3,0,0,tank_focus,swarm_focus
28,raspberry,2,1,3,0,0,tank_focus,mixed_composition
29,blueberry,0,2,2,0,0,tank_focus,swarm_focus
30,blueberry,0,2,2,0,0,tank_focus,swarm_focus
31,blueberry,1,2,3,0,0,tank_focus,swarm_focus
32,blueberry,0,2,2,0,0,tank_focus,swarm_focus
33,raspberry,2,1,3,0,0,tank_focus,mixed_composition
34,blueberry,0,2,2,0,0,tank_focus,swarm_focus
35,blueberry,1,2,3,0,0,tank_focus,swarm_focus
36,blueberry,1,2,3,0,0,tank_focus,swarm_focus
37,blueberry,0,2,2,0,0,tank_focus,mixed_composition
38,blueberry,0,2,2,0,0,tank_focus,swarm_focus
39,blueberry,1,2,3,0,0,tank_focus,swarm_focus
40,blueberry,1,2,3,0,0,tank_focus,swarm_focus
41,blueberry,1,2,3,0,0,tank_focus,swarm_focus
42,raspberry,2,1,3,0,0,tank_focus,mixed_composition
43,raspberry,2,1,3,0,0,tank_focus,ranged_focus
44,raspberry,2,1,3,0,0,tank_focus,mixed_composition
45,blueberry,0,2,2,0,0,tank_focus,swarm_focus
46,blueberry,1,2,3,0,0,tank_focus,mixed_composition
47,raspberry,2,1,3,0,0,tank_focus,mixed_composition
48,blueberry,1,2,3,0,0,tank_focus,swarm_focus
49,blueberry,1,2,3,0,0,tank_focus,swarm_focus
50,blueberry,0,2,2,0,0,tank_focus,swarm_focus
51,raspberry,2,1,3,0,0,tank_focus,mixed_composition
52,blueberry,0,2,2,0,0,tank_focus,swarm_focus
53,blueberry,1,2,3,0,0,tank_focus,mixed_composition
54,blueberry,0,2,2,0,0,tank_focus,swarm_focus
55,blueberry,0,2,2,0,0,tank_focus,swarm_focus
56,raspberry,2,0,2,0,0,tank_focus,ranged_focus
57,blueberry,1,2,3,0,0,tank_focus,mixed_composition
58,blueberry,0,2,2,0,0,tank_focus,swarm_focus
59,blueberry,0,2,2,0,0,tank_focus,swarm_focus
60,blueberry,0,2,2,0,0,tank_focus,swarm_focus
61,blueberry,0,2,2,0,0,tank_focus,mixed_composition
62,blueberry,0,2,2,0,0,tank_focus,swarm_focus
63,blueberry,0,2,2,0,0,tank_focus,swarm_focus
64,blueberry,1,2,3,0,0,tank_focus,swarm_focus
65,blueberry,0,2,2,0,0,tank_focus,swarm_focus
66,blueberry,0,2,2,0,0,tank_focus,swarm_focus
67,blueberry,1,2,3,0,0,tank_focus,swarm_focus
68,blueberry,0,2,2,0,0,tank_focus,swarm_focus
69,blueberry,1,2,3,0,0,tank_focus,mixed_composition
70,blueberry,0,2,2,0,0,tank_focus,mixed_composition
71,blueberry,1,2,3,0,0,tank_focus,mixed_composition
72,blueberry,1,2,3,0,0,tank_focus,swarm_focus
73,blueberry,1,2,3,0,0,tank_focus,swarm_focus
74,blueberry,0,2,2,0,0,tank_focus,mixed_composition
75,blueberry,1,2,3,0,0,tank_focus,mixed_composition
76,blueberry,0,2,2,0,0,tank_focus,mixed_composition
77,raspberry,2,1,3,0,0,tank_focus,mixed_composition
78,blueberry,0,2,2,0,0,tank_focus,swarm_focus
79,blueberry,0,2,2,0,0,tank_focus,swarm_focus
80,raspberry,2,1,3,0,0,tank_focus,mixed_composition
