team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,8770,109.625,0.7268,2094,26.175,7147,215445.49,2693.0687,5070368.14,0.0,16112,87340,165718.0,18.896,4001,31320,29
raspberry,macaron,마카롱,855,10.6875,0.0709,0,0.0,763,0.0,0.0,71960.77,360977.14,0,1410,11157.0,13.0491,0,400,21
raspberry,pie,파이,1978,24.725,0.1639,1860,23.25,1506,163601.69,2045.0211,235515.23,0.0,5747,3586,45783.5,23.1464,1671,1931,22
raspberry,scone,스콘,141,1.7625,0.0117,640,8.0,92,50705.09,633.8136,33660.8,0.0,906,448,5785.0,41.0284,147,365,23
raspberry,tart,타르트,322,4.025,0.0267,1507,18.8375,166,282225.46,3527.8183,51107.34,0.0,3903,671,16843.0,52.3075,839,507,17
blueberry,baumkuchen,바움쿠헨,386,4.825,0.0248,76,0.95,185,42267.89,528.3487,56887.48,0.0,1463,2833,12547.5,32.5065,313,419,11
blueberry,pannacotta,판나코타,247,3.0875,0.0159,508,6.35,197,381713.32,4771.4165,1743.21,0.0,185,50,3445.0,13.9474,52,25,11
blueberry,pie,파이,14391,179.8875,0.9239,8605,107.5625,5725,4647124.5,58089.0563,613899.0,0.0,88685,22239,579784.0,40.288,33218,5762,20
blueberry,scone,스콘,177,2.2125,0.0114,283,3.5375,61,154856.28,1935.7035,16236.74,0.0,1081,634,8047.0,45.4633,255,179,20
blueberry,tarte_tatin,타르트·타탱,376,4.7,0.0241,202,2.525,118,236650.3,2958.1287,23211.3,0.0,2041,912,17666.0,46.984,685,273,13
