match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,153.0,3,0,0,raspberry_full_control
1,2,blueberry,180.0,-1,0,0,time
1,3,blueberry,180.0,-3,0,0,time
2,1,blueberry,145.0,-3,0,0,blueberry_full_control
2,2,raspberry,144.0,3,0,0,raspberry_full_control
2,3,raspberry,162.0,3,0,0,raspberry_full_control
3,1,raspberry,180.0,3,0,0,time
3,2,raspberry,144.5,3,0,0,raspberry_full_control
4,1,raspberry,153.0,3,0,0,raspberry_full_control
4,2,raspberry,165.5,3,0,0,raspberry_full_control
5,1,blueberry,143.5,-3,0,0,blueberry_full_control
5,2,raspberry,143.0,3,0,0,raspberry_full_control
5,3,blueberry,180.0,-3,0,0,time
6,1,blueberry,143.5,-3,0,0,blueberry_full_control
6,2,raspberry,147.5,3,0,0,raspberry_full_control
6,3,raspberry,180.0,3,0,0,time
7,1,blueberry,118.0,-3,0,0,blueberry_full_control
7,2,blueberry,147.0,-3,0,0,blueberry_full_control
8,1,blueberry,126.5,-3,0,0,blueberry_full_control
8,2,raspberry,153.0,3,0,0,raspberry_full_control
8,3,blueberry,180.0,-2,0,0,time
9,1,blueberry,127.5,-3,0,0,blueberry_full_control
9,2,blueberry,180.0,-3,0,0,time
10,1,raspberry,152.5,3,0,0,raspberry_full_control
10,2,raspberry,146.5,3,0,0,raspberry_full_control
11,1,blueberry,175.0,-3,0,0,blueberry_full_control
11,2,raspberry,144.5,2,0,0,raspberry_full_control
11,3,raspberry,146.5,3,0,0,raspberry_full_control
12,1,raspberry,141.5,3,0,0,raspberry_full_control
12,2,raspberry,153.5,3,0,0,raspberry_full_control
13,1,blueberry,174.0,-3,0,0,blueberry_full_control
13,2,raspberry,155.5,3,0,0,raspberry_full_control
13,3,raspberry,155.0,3,0,0,raspberry_full_control
14,1,raspberry,135.0,2,0,0,raspberry_full_control
14,2,raspberry,143.0,3,0,0,raspberry_full_control
15,1,raspberry,152.5,3,0,0,raspberry_full_control
15,2,raspberry,146.5,2,0,0,raspberry_full_control
16,1,raspberry,150.0,3,0,0,raspberry_full_control
16,2,raspberry,180.0,3,0,0,time
17,1,blueberry,156.5,-3,0,0,blueberry_full_control
17,2,blueberry,127.0,-3,0,0,blueberry_full_control
18,1,raspberry,151.0,3,0,0,raspberry_full_control
18,2,raspberry,180.0,3,0,0,time
19,1,blueberry,174.5,-3,0,0,blueberry_full_control
19,2,raspberry,161.0,3,0,0,raspberry_full_control
19,3,raspberry,152.0,3,0,0,raspberry_full_control
20,1,raspberry,173.5,3,0,0,raspberry_full_control
20,2,raspberry,167.0,3,0,0,raspberry_full_control
21,1,blueberry,180.0,-3,0,0,time
21,2,raspberry,145.0,3,0,0,raspberry_full_control
21,3,raspberry,180.0,1,0,0,time
22,1,raspberry,165.5,3,0,0,raspberry_full_control
22,2,raspberry,153.0,3,0,0,raspberry_full_control
23,1,raspberry,150.0,3,0,0,raspberry_full_control
23,2,blueberry,159.0,-3,0,0,blueberry_full_control
23,3,raspberry,155.5,3,0,0,raspberry_full_control
24,1,raspberry,150.0,3,0,0,raspberry_full_control
24,2,raspberry,179.0,3,0,0,raspberry_full_control
25,1,blueberry,137.5,-3,0,0,blueberry_full_control
25,2,blueberry,176.5,-3,0,0,blueberry_full_control
26,1,blueberry,148.5,-3,0,0,blueberry_full_control
26,2,raspberry,175.5,3,0,0,raspberry_full_control
26,3,raspberry,130.0,1,0,0,raspberry_full_control
27,1,blueberry,130.5,-3,0,0,blueberry_full_control
27,2,raspberry,152.0,3,0,0,raspberry_full_control
27,3,raspberry,150.0,3,0,0,raspberry_full_control
28,1,raspberry,154.0,3,0,0,raspberry_full_control
28,2,raspberry,135.0,3,0,0,raspberry_full_control
29,1,raspberry,180.0,2,0,0,time
29,2,raspberry,135.0,3,0,0,raspberry_full_control
30,1,raspberry,180.0,2,0,0,time
30,2,raspberry,146.5,3,0,0,raspberry_full_control
31,1,raspberry,159.0,3,0,0,raspberry_full_control
31,2,raspberry,161.0,3,0,0,raspberry_full_control
32,1,blueberry,134.5,-3,0,0,blueberry_full_control
32,2,raspberry,146.5,3,0,0,raspberry_full_control
32,3,blueberry,154.5,-3,0,0,blueberry_full_control
33,1,raspberry,180.0,3,0,0,time
33,2,raspberry,180.0,3,0,0,time
34,1,raspberry,161.0,3,0,0,raspberry_full_control
34,2,raspberry,152.5,3,0,0,raspberry_full_control
35,1,blueberry,172.5,-3,0,0,blueberry_full_control
35,2,blueberry,135.0,-3,0,0,blueberry_full_control
36,1,blueberry,180.0,-3,0,0,time
36,2,raspberry,151.0,3,0,0,raspberry_full_control
36,3,raspberry,146.0,3,0,0,raspberry_full_control
37,1,raspberry,180.0,3,0,0,time
37,2,raspberry,180.0,3,0,0,time
38,1,raspberry,152.5,3,0,0,raspberry_full_control
