team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,9195,114.9375,0.6828,3102,38.775,3768,777177.75,9714.7219,3249975.28,0.0,56624,60569,450182.0,48.9594,15804,10377,19
raspberry,macaron,마카롱,1107,13.8375,0.0822,0,0.0,769,0.0,0.0,120614.65,678649.72,0,3223,30736.0,27.7651,0,255,19
raspberry,pie,파이,2569,32.1125,0.1908,2761,34.5125,830,549907.91,6873.8489,165106.37,0.0,17701,2096,139884.5,54.451,4505,879,19
raspberry,scone,스콘,186,2.325,0.0138,338,4.225,45,72396.66,904.9582,18810.73,0.0,977,283,11774.5,63.3038,152,172,18
raspberry,tart,타르트,410,5.125,0.0304,787,9.8375,79,205867.35,2573.3419,26086.09,0.0,4030,313,26437.0,64.4805,737,200,15
blueberry,baumkuchen,바움쿠헨,5489,68.6125,0.5721,1277,15.9625,4432,880463.8,11005.7974,1314179.08,0.0,30324,67426,93641.5,17.0598,3383,15471,23
blueberry,pannacotta,판나코타,158,1.975,0.0165,445,5.5625,140,451047.91,5638.0989,1482.42,0.0,125,45,1205.0,7.6266,14,31,17
blueberry,pie,파이,3547,44.3375,0.3697,3264,40.8,2264,1736931.3,21711.6413,231100.79,0.0,33237,8957,107392.0,30.2769,8048,4106,22
blueberry,scone,스콘,127,1.5875,0.0132,272,3.4,90,143120.88,1789.011,22828.05,0.0,1001,1146,3893.5,30.6575,137,562,17
blueberry,tarte_tatin,타르트·타탱,274,3.425,0.0286,233,2.9125,187,369029.22,4612.8653,35759.33,0.0,1797,1758,9353.0,34.135,301,1028,19
