team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,2408,30.1,0.1941,1081,13.5125,1397,174371.84,2179.648,1884365.07,0.0,9835,21130,97432.5,40.462,2386,999,9
raspberry,macaron,마카롱,2984,37.3,0.2405,0,0.0,2778,0.0,0.0,506934.64,1490372.54,0,7338,74204.5,24.8675,0,399,9
raspberry,pie,파이,4645,58.0625,0.3744,2397,29.9625,2710,327956.97,4099.4622,648195.3,0.0,8640,3791,169895.5,36.576,2579,550,12
raspberry,scone,스콘,737,9.2125,0.0594,2150,26.875,263,237241.85,2965.5231,164180.09,0.0,3090,868,40231.0,54.5875,631,178,8
raspberry,tart,타르트,1633,20.4125,0.1316,3058,38.225,408,653687.76,8171.097,153371.53,0.0,13737,879,97133.0,59.4813,3940,246,9
blueberry,baumkuchen,바움쿠헨,1614,20.175,0.1605,286,3.575,1501,177921.73,2224.0217,444569.42,0.0,6135,12685,23085.5,14.3033,323,2697,14
blueberry,pannacotta,판나코타,804,10.05,0.08,2683,33.5375,782,878072.73,10975.9091,22345.33,0.0,573,566,5672.0,7.0547,36,278,13
blueberry,pie,파이,5153,64.4125,0.5124,1872,23.4,4754,821098.06,10263.7258,467671.82,0.0,15739,11632,77474.5,15.0348,1097,3128,12
blueberry,scone,스콘,638,7.975,0.0634,1746,21.825,562,533482.81,6668.5352,142320.48,0.0,4048,3312,15734.5,24.6622,336,1024,12
blueberry,tarte_tatin,타르트·타탱,1847,23.0875,0.1837,969,12.1125,1660,946471.29,11830.8911,316351.36,0.0,7511,7107,36810.0,19.9296,580,2409,14
