team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,2256,28.2,0.1939,1755,21.9375,837,173368.96,2167.112,1504302.68,0.0,9688,23351,112656.0,49.9362,3286,591,13
raspberry,macaron,마카롱,2919,36.4875,0.2509,0,0.0,2466,0.0,0.0,470894.69,1324412.68,0,9007,91255.0,31.2624,0,200,13
raspberry,pie,파이,4285,53.5625,0.3683,6171,77.1375,1115,515826.72,6447.834,324423.92,0.0,13844,2709,239748.5,55.9506,7130,323,7
raspberry,scone,스콘,684,8.55,0.0588,1860,23.25,41,132701.3,1658.7663,35140.35,0.0,1993,291,49453.5,72.3004,659,77,7
raspberry,tart,타르트,1492,18.65,0.1282,2909,36.3625,83,530518.32,6631.479,46186.87,0.0,9362,535,102834.0,68.9236,3519,93,8
blueberry,baumkuchen,바움쿠헨,290,3.625,0.0224,19,0.2375,286,20019.49,250.2437,83709.78,0.0,680,2214,2581.5,8.9017,40,885,16
blueberry,pannacotta,판나코타,184,2.3,0.0142,893,11.1625,184,303218.08,3790.2259,4970.18,0.0,131,130,737.5,4.0082,19,90,15
blueberry,pie,파이,12026,150.325,0.927,3194,39.925,11893,1747890.25,21848.6281,1166727.6,0.0,33101,30193,106061.0,8.8193,1132,12538,19
blueberry,scone,스콘,155,1.9375,0.0119,323,4.0375,154,113358.91,1416.9864,38247.42,0.0,837,1009,2409.0,15.5419,27,410,12
blueberry,tarte_tatin,타르트·타탱,318,3.975,0.0245,113,1.4125,309,196461.79,2455.7723,58760.34,0.0,1144,1341,4933.5,15.5142,66,671,14
