team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,2413,30.1625,0.1908,535,6.6875,1861,93460.83,1168.2604,1856014.52,0.0,5343,18019,66823.5,27.6931,916,1878,10
raspberry,macaron,마카롱,3032,37.9,0.2398,0,0.0,2821,0.0,0.0,390136.86,1051567.12,0,4944,52666.0,17.3701,0,747,10
raspberry,pie,파이,4672,58.4,0.3695,1814,22.675,3493,255359.79,3191.9974,687735.24,0.0,6746,5353,126483.5,27.0727,1576,1231,11
raspberry,scone,스콘,809,10.1125,0.064,2032,25.4,501,242437.05,3030.4631,237489.01,0.0,3097,1348,31690.0,39.1718,498,444,11
raspberry,tart,타르트,1718,21.475,0.1359,3048,38.1,801,669531.55,8369.1444,291534.28,0.0,14729,1682,80994.5,47.1446,3597,617,9
blueberry,baumkuchen,바움쿠헨,1659,20.7375,0.158,431,5.3875,1324,185250.71,2315.6338,423012.69,0.0,4937,11434,34335.0,20.6962,511,1888,12
blueberry,pannacotta,판나코타,872,10.9,0.0831,2367,29.5875,797,742508.75,9281.3594,26293.76,0.0,570,693,7025.5,8.0568,71,364,9
blueberry,pie,파이,5858,73.225,0.558,2478,30.975,4478,916336.31,11454.2038,478665.42,0.0,13872,11005,125455.0,21.416,2075,2336,11
blueberry,scone,스콘,696,8.7,0.0663,2666,33.325,468,738398.63,9229.9829,135727.96,0.0,4784,3019,23286.5,33.4576,753,829,13
blueberry,tarte_tatin,타르트·타탱,1414,17.675,0.1347,1535,19.1875,932,880415.51,11005.1939,197089.39,0.0,7183,3764,47380.0,33.5078,1507,1170,13
