match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,180.0,3,0,0,time
1,2,raspberry,180.0,3,0,0,time
2,1,raspberry,165.5,3,0,0,raspberry_full_control
2,2,raspberry,180.0,3,0,0,time
3,1,raspberry,180.0,3,0,0,time
3,2,blueberry,180.0,-3,0,0,time
3,3,raspberry,180.0,1,0,0,time
4,1,raspberry,178.0,3,0,0,raspberry_full_control
4,2,raspberry,180.0,2,0,0,time
5,1,blueberry,137.5,-3,0,0,blueberry_full_control
5,2,blueberry,123.5,-3,0,0,blueberry_full_control
6,1,raspberry,171.0,3,0,0,raspberry_full_control
6,2,raspberry,164.5,3,0,0,raspberry_full_control
7,1,raspberry,144.5,3,0,0,raspberry_full_control
7,2,raspberry,180.0,0,0,0,time
8,1,blueberry,135.5,-3,0,0,blueberry_full_control
8,2,raspberry,180.0,3,0,0,time
8,3,blueberry,132.0,-3,0,0,blueberry_full_control
9,1,blueberry,180.0,-3,0,0,time
9,2,raspberry,180.0,3,0,0,time
9,3,raspberry,160.5,3,0,0,raspberry_full_control
10,1,raspberry,180.0,3,0,0,time
10,2,blueberry,180.0,-3,0,0,time
10,3,raspberry,180.0,1,0,0,time
11,1,raspberry,180.0,3,0,0,time
11,2,raspberry,176.5,3,0,0,raspberry_full_control
12,1,raspberry,172.0,3,0,0,raspberry_full_control
12,2,raspberry,164.5,3,0,0,raspberry_full_control
13,1,raspberry,180.0,3,0,0,time
13,2,raspberry,180.0,3,0,0,time
14,1,raspberry,180.0,3,0,0,time
14,2,raspberry,178.5,3,0,0,raspberry_full_control
15,1,blueberry,150.5,-3,0,0,blueberry_full_control
15,2,blueberry,173.0,-3,0,0,blueberry_full_control
16,1,blueberry,167.0,-3,0,0,blueberry_full_control
16,2,blueberry,131.0,-3,0,0,blueberry_full_control
17,1,raspberry,166.0,3,0,0,raspberry_full_control
17,2,raspberry,180.0,1,0,0,time
18,1,blueberry,143.0,-3,0,0,blueberry_full_control
18,2,blueberry,166.0,-3,0,0,blueberry_full_control
19,1,raspberry,180.0,3,0,0,time
19,2,raspberry,180.0,3,0,0,time
20,1,blueberry,127.5,-3,0,0,blueberry_full_control
20,2,raspberry,180.0,3,0,0,time
20,3,raspberry,154.0,3,0,0,raspberry_full_control
21,1,raspberry,180.0,3,0,0,time
21,2,raspberry,172.0,3,0,0,raspberry_full_control
22,1,raspberry,176.5,3,0,0,raspberry_full_control
22,2,blueberry,161.5,-3,0,0,blueberry_full_control
22,3,raspberry,159.0,3,0,0,raspberry_full_control
23,1,raspberry,174.0,3,0,0,raspberry_full_control
23,2,raspberry,160.5,3,0,0,raspberry_full_control
24,1,blueberry,144.0,-3,0,0,blueberry_full_control
24,2,raspberry,180.0,2,0,0,time
24,3,raspberry,180.0,3,0,0,time
25,1,blueberry,163.0,-3,0,0,blueberry_full_control
25,2,blueberry,142.5,-3,0,0,blueberry_full_control
26,1,raspberry,175.5,3,0,0,raspberry_full_control
26,2,raspberry,180.0,0,0,0,time
27,1,blueberry,158.5,-3,0,0,blueberry_full_control
27,2,raspberry,176.5,3,0,0,raspberry_full_control
27,3,raspberry,142.5,3,0,0,raspberry_full_control
28,1,raspberry,142.0,3,0,0,raspberry_full_control
28,2,blueberry,140.0,-3,0,0,blueberry_full_control
28,3,raspberry,180.0,3,0,0,time
29,1,blueberry,125.5,-3,0,0,blueberry_full_control
29,2,raspberry,165.5,3,0,0,raspberry_full_control
29,3,raspberry,145.0,3,0,0,raspberry_full_control
30,1,raspberry,180.0,2,0,0,time
30,2,raspberry,180.0,3,0,0,time
31,1,raspberry,174.5,3,0,0,raspberry_full_control
31,2,raspberry,180.0,2,0,0,time
32,1,raspberry,171.5,3,0,0,raspberry_full_control
32,2,blueberry,138.0,-3,0,0,blueberry_full_control
32,3,raspberry,175.0,3,0,0,raspberry_full_control
33,1,raspberry,163.0,3,0,0,raspberry_full_control
33,2,blueberry,134.0,-3,0,0,blueberry_full_control
33,3,blueberry,133.0,-3,0,0,blueberry_full_control
34,1,blueberry,138.0,-3,0,0,blueberry_full_control
34,2,raspberry,165.0,3,0,0,raspberry_full_control
34,3,raspberry,174.5,3,0,0,raspberry_full_control
35,1,raspberry,180.0,3,0,0,time
35,2,raspberry,180.0,3,0,0,time
36,1,blueberry,180.0,-3,0,0,time
36,2,raspberry,180.0,3,0,0,time
36,3,raspberry,159.5,3,0,0,raspberry_full_control
37,1,raspberry,176.0,3,0,0,raspberry_full_control
37,2,raspberry,133.0,3,0,0,raspberry_full_control
38,1,blueberry,136.5,-3,0,0,blueberry_full_control
