team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,2255,28.1875,0.1859,362,4.525,2253,52393.55,654.9194,1745881.43,0.0,3903,17556,25155.5,11.1554,216,2369,9
raspberry,macaron,마카롱,2463,30.7875,0.203,0,0.0,2645,0.0,0.0,264308.34,472592.84,0,3574,14484.0,5.8806,0,861,9
raspberry,pie,파이,4852,60.65,0.3999,1676,20.95,4858,193250.77,2415.6346,816724.0,0.0,6144,6305,44100.0,9.089,589,1438,9
raspberry,scone,스콘,667,8.3375,0.055,1342,16.775,639,140502.37,1756.2797,251829.16,0.0,2155,1314,10296.5,15.437,205,452,10
raspberry,tart,타르트,1896,23.7,0.1563,1300,16.25,1845,260481.91,3256.0239,551544.09,0.0,7191,3049,20520.0,10.8228,569,1045,11
blueberry,baumkuchen,바움쿠헨,786,9.825,0.0753,250,3.125,480,85423.41,1067.7927,146932.32,0.0,3052,4988,26649.5,33.9052,380,215,8
blueberry,pannacotta,판나코타,3077,38.4625,0.2949,7041,88.0125,2668,1884011.79,23550.1474,60805.82,0.0,2245,1610,38516.0,12.5174,264,335,10
blueberry,pie,파이,5597,69.9625,0.5365,2985,37.3125,3400,870273.91,10878.4238,341678.08,0.0,17669,10690,187964.5,33.5831,3463,817,14
blueberry,scone,스콘,177,2.2125,0.017,1089,13.6125,86,260473.31,3255.9164,25797.67,0.0,2031,594,9651.5,54.5282,338,63,5
blueberry,tarte_tatin,타르트·타탱,796,9.95,0.0763,875,10.9375,291,530104.6,6626.3075,71414.72,0.0,6801,1511,45889.0,57.6495,1720,149,6
