match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,177.5,-3,0,2,blueberry_full_control
1,2,blueberry,133.5,-3,0,2,blueberry_full_control
2,1,blueberry,180.0,-2,0,1,time
2,2,raspberry,180.0,3,0,1,time
2,3,blueberry,180.0,-2,0,1,time
3,1,blueberry,178.5,-3,0,1,blueberry_full_control
3,2,blueberry,161.5,-3,0,1,blueberry_full_control
4,1,raspberry,180.0,3,0,1,time
4,2,blueberry,174.5,-3,0,1,blueberry_full_control
4,3,blueberry,180.0,-3,0,3,time
5,1,raspberry,180.0,3,0,1,time
5,2,blueberry,180.0,-2,0,3,time
5,3,blueberry,119.0,-3,0,3,blueberry_full_control
6,1,raspberry,180.0,2,0,2,time
6,2,blueberry,140.5,-3,0,2,blueberry_full_control
6,3,blueberry,143.0,-3,0,3,blueberry_full_control
7,1,raspberry,180.0,2,0,2,time
7,2,blueberry,135.0,-3,0,2,blueberry_full_control
7,3,blueberry,143.0,-3,0,3,blueberry_full_control
8,1,raspberry,180.0,2,0,2,time
8,2,blueberry,139.0,-3,0,2,blueberry_full_control
8,3,raspberry,180.0,2,0,2,time
9,1,raspberry,167.5,3,0,1,raspberry_full_control
9,2,blueberry,179.5,-3,0,2,blueberry_full_control
9,3,blueberry,133.0,-3,0,3,blueberry_full_control
10,1,raspberry,178.0,3,0,2,raspberry_full_control
10,2,raspberry,180.0,3,0,2,time
11,1,raspberry,180.0,2,0,2,time
11,2,raspberry,180.0,1,0,2,time
12,1,raspberry,180.0,3,0,3,time
12,2,blueberry,129.5,-3,0,3,blueberry_full_control
12,3,blueberry,143.0,-3,0,3,blueberry_full_control
13,1,blueberry,180.0,-3,0,1,time
13,2,blueberry,172.0,-3,0,1,blueberry_full_control
14,1,raspberry,180.0,3,0,1,time
14,2,blueberry,123.0,-3,0,1,blueberry_full_control
14,3,blueberry,180.0,-2,0,3,time
15,1,raspberry,180.0,3,0,1,time
15,2,raspberry,175.0,3,0,1,raspberry_full_control
16,1,raspberry,180.0,2,0,1,time
16,2,raspberry,180.0,1,0,1,time
17,1,raspberry,180.0,1,0,2,time
17,2,blueberry,170.0,-3,0,3,blueberry_full_control
17,3,raspberry,180.0,3,0,3,time
18,1,blueberry,180.0,-3,0,2,time
18,2,raspberry,180.0,1,0,3,time
18,3,blueberry,133.5,-3,0,3,blueberry_full_control
19,1,raspberry,180.0,2,0,1,time
19,2,raspberry,180.0,2,0,2,time
20,1,raspberry,180.0,1,0,2,time
20,2,blueberry,113.5,-3,0,3,blueberry_full_control
20,3,blueberry,135.0,-3,0,3,blueberry_full_control
21,1,raspberry,180.0,1,0,2,time
21,2,blueberry,134.0,-3,0,3,blueberry_full_control
21,3,blueberry,180.0,-3,0,3,time
22,1,blueberry,180.0,0,0,3,time
22,2,blueberry,122.5,-3,0,3,blueberry_full_control
23,1,raspberry,180.0,2,0,2,time
23,2,blueberry,159.5,-3,0,3,blueberry_full_control
23,3,blueberry,135.5,-3,0,3,blueberry_full_control
24,1,raspberry,180.0,3,0,1,time
24,2,blueberry,133.5,-3,0,1,blueberry_full_control
24,3,blueberry,180.0,-3,0,2,time
25,1,raspberry,180.0,2,0,1,time
25,2,raspberry,180.0,2,0,2,time
26,1,raspberry,180.0,1,0,2,time
26,2,blueberry,122.5,-3,0,3,blueberry_full_control
26,3,blueberry,174.0,-3,0,3,blueberry_full_control
27,1,raspberry,168.5,3,0,1,raspberry_full_control
27,2,raspberry,180.0,2,0,3,time
28,1,raspberry,180.0,3,0,1,time
28,2,blueberry,131.0,-3,0,2,blueberry_full_control
28,3,blueberry,127.0,-3,0,2,blueberry_full_control
29,1,raspberry,180.0,2,0,2,time
29,2,blueberry,149.0,-3,0,3,blueberry_full_control
29,3,blueberry,149.5,-3,0,3,blueberry_full_control
