team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,698,8.725,0.0657,132,1.65,406,18868.48,235.856,387336.06,0.0,1406,5375,24909.0,35.6862,245,233,6
raspberry,macaron,마카롱,1377,17.2125,0.1297,0,0.0,1044,0.0,0.0,127221.24,412415.76,0,2118,31664.5,22.9953,0,137,7
raspberry,pie,파이,4080,51.0,0.3843,1347,16.8375,2484,164895.43,2061.1929,498812.38,0.0,5166,5148,148350.5,36.3604,1636,360,7
raspberry,scone,스콘,1410,17.625,0.1328,2751,34.3875,549,364521.88,4556.5235,282864.34,0.0,5405,1846,79264.0,56.2156,1582,358,12
raspberry,tart,타르트,3052,38.15,0.2875,4150,51.875,949,800266.42,10003.3302,339839.62,0.0,26834,2646,178114.0,58.3598,9612,559,12
blueberry,baumkuchen,바움쿠헨,1441,18.0125,0.1539,249,3.1125,1366,75141.56,939.2694,400021.66,0.0,2707,12846,17958.5,12.4625,182,3668,16
blueberry,pannacotta,판나코타,794,9.925,0.0848,1742,21.775,771,406084.97,5076.0621,40283.52,0.0,358,1279,4351.0,5.4798,23,722,15
blueberry,pie,파이,4590,57.375,0.4902,876,10.95,4286,236701.66,2958.7708,417688.97,0.0,4847,12565,54953.0,11.9723,487,4190,19
blueberry,scone,스콘,594,7.425,0.0634,1491,18.6375,544,310353.39,3879.4173,135987.53,0.0,2457,3967,10786.0,18.1582,179,1407,16
blueberry,tarte_tatin,타르트·타탱,1944,24.3,0.2076,1074,13.425,1771,607792.06,7597.4008,354570.53,0.0,6764,8154,34130.0,17.5566,776,3088,16
