match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
2,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
3,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
4,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
5,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
6,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
7,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
8,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
9,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
10,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
11,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
12,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
13,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
14,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
15,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
16,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
17,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
18,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
19,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
20,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
21,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
22,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
23,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
24,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
25,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
26,blueberry,0,2,2,0,0,ranged_focus,mixed_composition
27,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
28,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
29,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
30,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
31,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
32,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
33,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
34,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
35,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
36,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
37,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
38,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
39,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
40,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
41,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
42,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
43,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
44,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
45,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
46,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
47,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
48,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
49,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
50,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
51,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
52,blueberry,0,2,2,0,1,mixed_composition,swarm_focus
53,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
54,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
55,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
56,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
57,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
58,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
59,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
60,blueberry,0,2,2,0,0,ranged_focus,mixed_composition
61,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
62,blueberry,0,2,2,0,0,ranged_focus,swarm_focus
63,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
64,blueberry,0,2,2,0,0,ranged_focus,mixed_composition
65,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
66,raspberry,2,1,3,0,0,ranged_focus,mixed_composition
67,blueberry,0,2,2,0,0,ranged_focus,mixed_composition
68,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
69,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
70,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
71,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
72,raspberry,2,1,3,0,1,mixed_composition,mixed_composition
73,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
74,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
75,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
76,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
77,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
78,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
79,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
80,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
