match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,raspberry,2,0,2,0,1,mixed_composition,mixed_composition
2,raspberry,2,1,3,0,1,mixed_composition,swarm_focus
3,raspberry,2,0,2,0,1,mixed_composition,swarm_focus
4,blueberry,1,2,3,0,3,mixed_composition,mixed_composition
5,blueberry,0,2,2,0,1,ranged_focus,swarm_focus
6,raspberry,2,1,3,0,2,mixed_composition,swarm_focus
7,raspberry,2,0,2,0,1,mixed_composition,mixed_composition
8,raspberry,2,0,2,0,2,mixed_composition,swarm_focus
9,raspberry,2,1,3,0,3,mixed_composition,mixed_composition
10,raspberry,2,0,2,0,1,mixed_composition,swarm_focus
11,raspberry,2,1,3,0,1,mixed_composition,swarm_focus
12,raspberry,2,0,2,0,2,mixed_composition,swarm_focus
13,raspberry,2,0,2,0,1,mixed_composition,mixed_composition
14,raspberry,2,1,3,0,1,mixed_composition,swarm_focus
15,raspberry,2,0,2,0,2,mixed_composition,swarm_focus
16,blueberry,1,2,3,0,3,mixed_composition,swarm_focus
17,raspberry,2,0,2,0,1,mixed_composition,mixed_composition
18,raspberry,2,0,2,0,1,mixed_composition,mixed_composition
19,raspberry,2,0,2,0,3,mixed_composition,mixed_composition
20,blueberry,1,2,3,0,2,mixed_composition,swarm_focus
21,raspberry,2,0,2,0,1,mixed_composition,mixed_composition
22,raspberry,2,0,2,0,1,mixed_composition,mixed_composition
23,raspberry,2,1,3,0,1,mixed_composition,mixed_composition
24,blueberry,1,2,3,0,2,mixed_composition,swarm_focus
25,raspberry,2,0,2,0,1,mixed_composition,mixed_composition
26,raspberry,2,0,2,0,3,mixed_composition,swarm_focus
27,raspberry,2,0,2,0,2,mixed_composition,swarm_focus
28,raspberry,2,0,2,0,1,mixed_composition,mixed_composition
29,blueberry,1,2,3,0,2,mixed_composition,swarm_focus
30,raspberry,2,0,2,0,1,mixed_composition,swarm_focus
31,blueberry,1,2,3,0,3,mixed_composition,mixed_composition
32,raspberry,2,0,2,0,2,mixed_composition,mixed_composition
33,blueberry,1,2,3,0,2,mixed_composition,swarm_focus
34,raspberry,2,1,3,0,2,mixed_composition,mixed_composition
35,raspberry,2,1,3,0,3,mixed_composition,swarm_focus
36,raspberry,2,0,2,0,2,mixed_composition,mixed_composition
37,raspberry,2,0,2,0,2,mixed_composition,swarm_focus
38,raspberry,2,0,2,0,1,mixed_composition,swarm_focus
39,raspberry,2,1,3,0,3,mixed_composition,mixed_composition
40,blueberry,0,2,2,0,2,mixed_composition,swarm_focus
41,blueberry,0,2,2,0,1,mixed_composition,swarm_focus
42,raspberry,2,0,2,0,1,mixed_composition,swarm_focus
43,raspberry,2,0,2,0,1,mixed_composition,swarm_focus
44,raspberry,2,0,2,0,2,mixed_composition,swarm_focus
45,raspberry,2,0,2,0,1,mixed_composition,mixed_composition
46,raspberry,2,0,2,0,1,mixed_composition,mixed_composition
47,raspberry,2,0,2,0,2,mixed_composition,swarm_focus
48,blueberry,1,2,3,0,2,mixed_composition,swarm_focus
49,blueberry,1,2,3,0,3,mixed_composition,swarm_focus
50,raspberry,2,0,2,0,1,mixed_composition,mixed_composition
51,blueberry,1,2,3,0,3,mixed_composition,mixed_composition
52,blueberry,1,2,3,0,2,mixed_composition,mixed_composition
53,raspberry,2,0,2,0,1,mixed_composition,mixed_composition
54,raspberry,2,1,3,0,3,mixed_composition,swarm_focus
55,raspberry,2,0,2,0,3,mixed_composition,swarm_focus
56,raspberry,2,0,2,0,1,mixed_composition,swarm_focus
57,blueberry,1,2,3,0,2,mixed_composition,swarm_focus
58,raspberry,2,0,2,0,2,mixed_composition,mixed_composition
59,blueberry,1,2,3,0,3,mixed_composition,mixed_composition
60,raspberry,2,1,3,0,2,mixed_composition,mixed_composition
61,blueberry,1,2,3,0,2,ranged_focus,swarm_focus
62,raspberry,2,0,2,0,1,mixed_composition,swarm_focus
63,raspberry,2,0,2,0,1,mixed_composition,swarm_focus
64,raspberry,2,0,2,0,2,mixed_composition,mixed_composition
65,blueberry,1,2,3,0,3,mixed_composition,swarm_focus
66,raspberry,2,0,2,0,1,mixed_composition,mixed_composition
67,raspberry,2,0,2,0,1,mixed_composition,mixed_composition
68,blueberry,1,2,3,0,2,mixed_composition,swarm_focus
69,blueberry,0,2,2,0,3,mixed_composition,mixed_composition
70,raspberry,2,0,2,0,2,mixed_composition,swarm_focus
71,raspberry,2,0,2,0,1,mixed_composition,mixed_composition
72,raspberry,2,1,3,0,2,mixed_composition,mixed_composition
73,blueberry,1,2,3,0,3,mixed_composition,mixed_composition
74,blueberry,1,2,3,0,2,mixed_composition,swarm_focus
75,raspberry,2,0,2,0,1,mixed_composition,mixed_composition
76,raspberry,2,0,2,0,1,mixed_composition,mixed_composition
77,raspberry,2,0,2,0,2,mixed_composition,mixed_composition
78,raspberry,2,0,2,0,1,mixed_composition,mixed_composition
79,raspberry,2,1,3,0,1,mixed_composition,mixed_composition
80,raspberry,2,0,2,0,3,mixed_composition,mixed_composition
