team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,534,6.675,0.0419,259,3.2375,519,43944.36,549.3046,796608.34,0.0,3235,9827,19880.0,37.2285,345,1449,18
raspberry,macaron,마카롱,9773,122.1625,0.766,0,0.0,11630,0.0,0.0,1935007.95,2299852.82,0,24458,180052.5,18.4235,0,7352,27
raspberry,pie,파이,1828,22.85,0.1433,1873,23.4125,1721,249307.81,3116.3476,534009.04,0.0,7657,4589,54506.5,29.8176,1185,1992,22
raspberry,scone,스콘,202,2.525,0.0158,676,8.45,137,82604.18,1032.5523,101609.46,0.0,1275,1088,9380.0,46.4356,110,369,19
raspberry,tart,타르트,421,5.2625,0.033,1077,13.4625,297,258579.32,3232.2415,123828.67,0.0,4430,1275,20006.5,47.5214,476,612,17
blueberry,baumkuchen,바움쿠헨,268,3.35,0.0257,91,1.1375,113,33221.45,415.2682,37640.46,0.0,1187,1168,10248.0,38.2388,215,76,6
blueberry,pannacotta,판나코타,121,1.5125,0.0116,426,5.325,89,67623.21,845.2901,710.58,0.0,84,19,1517.5,12.5413,4,6,5
blueberry,pie,파이,5169,64.6125,0.495,4508,56.35,2102,814106.88,10176.3361,219134.87,0.0,16924,6019,177903.0,34.4173,3487,640,8
blueberry,scone,스콘,1360,17.0,0.1302,5636,70.45,388,728228.78,9102.8597,105633.27,0.0,7377,2724,65449.5,48.1246,2319,474,8
blueberry,tarte_tatin,타르트·타탱,3524,44.05,0.3375,3643,45.5375,1277,1847883.14,23098.5392,271316.49,0.0,15665,6667,147102.5,41.743,5749,920,9
