team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,445,5.5625,0.0509,68,0.85,558,16231.78,202.8973,495326.07,0.0,1182,6373,4746.0,10.6652,23,1340,12
raspberry,macaron,마카롱,6583,82.2875,0.7525,0,0.0,8979,0.0,0.0,959809.77,719418.18,0,16213,32202.0,4.8917,0,6154,15
raspberry,pie,파이,1313,16.4125,0.1501,382,4.775,1475,66918.59,836.4824,256925.08,0.0,1996,3177,6839.5,5.2091,65,1566,10
raspberry,scone,스콘,138,1.725,0.0158,222,2.775,143,28304.69,353.8086,57300.13,0.0,409,650,1233.0,8.9348,26,352,10
raspberry,tart,타르트,269,3.3625,0.0307,113,1.4125,274,35328.95,441.6119,83867.36,0.0,647,754,1223.0,4.5465,8,347,11
blueberry,baumkuchen,바움쿠헨,634,7.925,0.0783,203,2.5375,139,95168.14,1189.6017,52445.97,0.0,3372,1635,31180.5,49.1806,880,11,2
blueberry,pannacotta,판나코타,2174,27.175,0.2685,4099,51.2375,1440,587774.17,7347.1771,8418.31,0.0,1383,195,39513.5,18.1755,214,26,5
blueberry,pie,파이,4570,57.125,0.5643,5909,73.8625,570,861796.02,10772.4502,77867.36,0.0,18568,2174,230318.5,50.3979,7009,79,4
blueberry,scone,스콘,136,1.7,0.0168,713,8.9125,6,82937.16,1036.7145,2523.01,0.0,879,64,8855.0,65.1103,356,0,0
blueberry,tarte_tatin,타르트·타탱,584,7.3,0.0721,505,6.3125,13,225552.91,2819.4114,5529.37,0.0,2965,166,34229.5,58.6122,1300,6,3
