match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,180.0,3,0,1,time
1,2,blueberry,101.0,-3,0,1,blueberry_full_control
1,3,blueberry,141.0,-3,0,1,blueberry_full_control
2,1,raspberry,180.0,3,0,1,time
2,2,raspberry,179.0,3,0,1,raspberry_full_control
3,1,raspberry,166.5,3,0,0,raspberry_full_control
3,2,raspberry,180.0,3,0,0,time
4,1,blueberry,180.0,-3,0,0,time
4,2,raspberry,180.0,2,0,0,time
4,3,raspberry,180.0,1,0,0,time
5,1,raspberry,180.0,3,0,0,time
5,2,raspberry,151.5,3,0,0,raspberry_full_control
6,1,raspberry,180.0,1,0,0,time
6,2,raspberry,180.0,3,0,0,time
7,1,blueberry,133.0,-3,0,0,blueberry_full_control
7,2,blueberry,180.0,-3,0,0,time
8,1,raspberry,180.0,2,0,0,time
8,2,raspberry,180.0,3,0,0,time
9,1,raspberry,180.0,2,0,1,time
9,2,raspberry,180.0,3,0,1,time
10,1,raspberry,180.0,3,0,0,time
10,2,raspberry,180.0,3,0,0,time
11,1,raspberry,180.0,3,0,0,time
11,2,blueberry,180.0,-1,0,0,time
11,3,raspberry,180.0,0,0,2,time
12,1,blueberry,127.5,-3,0,1,blueberry_full_control
12,2,raspberry,180.0,3,0,1,time
12,3,blueberry,152.5,-3,0,1,blueberry_full_control
13,1,raspberry,159.0,3,0,0,raspberry_full_control
13,2,raspberry,180.0,3,0,0,time
14,1,raspberry,180.0,1,0,0,time
14,2,raspberry,180.0,2,0,0,time
15,1,blueberry,152.0,-3,0,1,blueberry_full_control
15,2,blueberry,135.5,-3,0,1,blueberry_full_control
16,1,raspberry,154.5,3,0,0,raspberry_full_control
16,2,blueberry,180.0,-3,0,2,time
16,3,blueberry,114.0,-3,0,2,blueberry_full_control
17,1,raspberry,160.0,3,0,0,raspberry_full_control
17,2,blueberry,177.0,-3,0,1,blueberry_full_control
17,3,raspberry,180.0,2,0,1,time
18,1,blueberry,177.0,-3,0,2,blueberry_full_control
18,2,blueberry,142.0,-3,0,3,blueberry_full_control
