team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,422,5.275,0.0414,52,0.65,517,15335.8,191.6976,572914.62,0.0,1117,6160,7748.5,18.3614,29,1356,15
raspberry,macaron,마카롱,7806,97.575,0.7651,0,0.0,11097,0.0,0.0,1346154.11,1477489.76,0,18901,98852.5,12.6637,0,6836,22
raspberry,pie,파이,1459,18.2375,0.143,597,7.4625,1940,116479.39,1455.9924,405067.63,0.0,3445,4055,27115.5,18.585,165,1786,18
raspberry,scone,스콘,135,1.6875,0.0132,273,3.4125,143,42983.77,537.2972,67002.86,0.0,592,544,2585.5,19.1519,19,243,16
raspberry,tart,타르트,381,4.7625,0.0373,591,7.3875,414,150877.42,1885.9678,146244.12,0.0,2752,1009,8766.5,23.0092,89,490,17
blueberry,baumkuchen,바움쿠헨,1260,15.75,0.1422,959,11.9875,296,180075.37,2250.9422,127208.6,0.0,4841,3770,58565.0,46.4802,1327,54,5
blueberry,pannacotta,판나코타,717,8.9625,0.0809,1904,23.8,478,285243.2,3565.54,5096.64,0.0,461,121,11582.5,16.1541,84,13,3
blueberry,pie,파이,5074,63.425,0.5726,5335,66.6875,1066,901039.44,11262.993,145290.44,0.0,15312,3123,230258.5,45.3801,5241,169,5
blueberry,scone,스콘,586,7.325,0.0661,2639,32.9875,46,338832.09,4235.4011,17885.89,0.0,3162,384,35646.5,60.8302,974,20,3
blueberry,tarte_tatin,타르트·타탱,1224,15.3,0.1381,3274,40.925,88,832193.25,10402.4157,30194.82,0.0,6893,508,74540.0,60.8987,3085,46,5
