team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,499,6.2375,0.0279,43,0.5375,497,9873.55,123.4194,353242.79,0.0,721,5068,6318.0,12.6613,102,1453,16
raspberry,macaron,마카롱,718,8.975,0.0401,0,0.0,730,0.0,0.0,68367.12,183664.12,0,1030,5194.5,7.2347,0,435,15
raspberry,pie,파이,16076,200.95,0.8975,3778,47.225,15812,557818.6,6972.7325,2582534.57,0.0,16776,28486,182775.5,11.3695,3540,12692,23
raspberry,scone,스콘,206,2.575,0.0115,502,6.275,195,64346.48,804.331,76058.86,0.0,960,597,4527.0,21.9757,103,256,15
raspberry,tart,타르트,413,5.1625,0.0231,432,5.4,388,113082.69,1413.5337,116676.97,0.0,2708,783,9055.5,21.9262,277,456,14
blueberry,baumkuchen,바움쿠헨,1695,21.1875,0.1355,350,4.375,946,56673.82,708.4227,283802.55,0.0,2119,7952,51579.5,30.4304,606,1160,11
blueberry,pannacotta,판나코타,908,11.35,0.0726,3334,41.675,682,490214.92,6127.6865,15966.24,0.0,600,450,12779.0,14.0738,97,162,11
blueberry,pie,파이,7310,91.375,0.5843,3809,47.6125,3294,515866.39,6448.3298,332695.35,0.0,11502,10076,239311.0,32.7375,4515,1684,12
blueberry,scone,스콘,793,9.9125,0.0634,5614,70.175,114,656787.59,8209.8449,35249.02,0.0,6402,823,47633.5,60.0675,2622,270,11
blueberry,tarte_tatin,타르트·타탱,1804,22.55,0.1442,4515,56.4375,319,1477337.6,18466.72,77408.17,0.0,15341,1864,112798.5,62.5269,7452,746,11
