team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,475,5.9375,0.0264,41,0.5125,473,7817.4,97.7175,335471.94,0.0,576,3656,3827.5,8.0579,42,688,8
raspberry,macaron,마카롱,720,9.0,0.0401,0,0.0,729,0.0,0.0,65052.81,77164.86,0,956,2399.0,3.3319,0,328,9
raspberry,pie,파이,16145,201.8125,0.8988,3606,45.075,16113,483149.17,6039.3646,2532528.25,0.0,14678,24791,92062.5,5.7022,1764,8470,13
raspberry,scone,스콘,211,2.6375,0.0117,384,4.8,208,44141.69,551.7711,77178.06,0.0,653,388,2525.5,11.9692,71,118,8
raspberry,tart,타르트,411,5.1375,0.0229,134,1.675,405,40785.12,509.8139,117858.61,0.0,1147,691,3763.0,9.1557,64,277,8
blueberry,baumkuchen,바움쿠헨,940,11.75,0.0819,238,2.975,529,42691.84,533.648,158143.85,0.0,1578,4479,29323.0,31.1947,376,239,9
blueberry,pannacotta,판나코타,3173,39.6625,0.2766,9212,115.15,2660,1372189.71,17152.3713,54213.1,0.0,2381,1541,39599.5,12.4801,342,534,9
blueberry,pie,파이,6298,78.725,0.549,4109,51.3625,3251,667411.07,8342.6384,328020.15,0.0,14328,10185,204039.5,32.3975,5110,1000,10
blueberry,scone,스콘,191,2.3875,0.0166,2666,33.325,25,321237.76,4015.472,9686.74,0.0,2949,229,14697.0,76.9476,933,49,8
blueberry,tarte_tatin,타르트·타탱,870,10.875,0.0758,1703,21.2875,81,724559.31,9056.9913,25829.53,0.0,9246,620,61089.5,70.2178,3120,119,8
