match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,173.5,3,2,0,raspberry_full_control
1,2,raspberry,139.0,3,3,0,raspberry_full_control
2,1,blueberry,149.0,-3,0,0,blueberry_full_control
2,2,raspberry,180.0,3,1,0,time
2,3,blueberry,178.0,-3,1,0,blueberry_full_control
3,1,raspberry,123.5,3,1,0,raspberry_full_control
3,2,raspberry,125.0,3,1,0,raspberry_full_control
4,1,raspberry,180.0,3,2,0,time
4,2,raspberry,117.5,3,2,0,raspberry_full_control
5,1,blueberry,159.0,-3,1,0,blueberry_full_control
5,2,raspberry,158.5,3,3,0,raspberry_full_control
5,3,raspberry,157.5,3,5,0,raspberry_full_control
6,1,raspberry,145.0,3,2,0,raspberry_full_control
6,2,raspberry,124.0,3,2,0,raspberry_full_control
7,1,blueberry,178.5,-3,1,0,blueberry_full_control
7,2,raspberry,177.5,3,3,0,raspberry_full_control
7,3,raspberry,120.5,3,4,0,raspberry_full_control
8,1,blueberry,180.0,-3,1,1,time
8,2,raspberry,126.5,3,2,1,raspberry_full_control
8,3,raspberry,180.0,1,5,2,time
9,1,raspberry,125.5,3,1,0,raspberry_full_control
9,2,raspberry,123.5,3,2,0,raspberry_full_control
10,1,raspberry,130.5,3,0,0,raspberry_full_control
10,2,raspberry,123.5,3,0,0,raspberry_full_control
11,1,raspberry,180.0,3,3,0,time
11,2,raspberry,122.0,3,3,0,raspberry_full_control
12,1,raspberry,130.5,3,1,0,raspberry_full_control
12,2,raspberry,180.0,3,2,0,time
13,1,blueberry,146.0,-3,0,0,blueberry_full_control
13,2,raspberry,180.0,2,1,1,time
13,3,raspberry,149.5,3,3,1,raspberry_full_control
14,1,raspberry,123.0,3,1,0,raspberry_full_control
14,2,raspberry,180.0,1,3,1,time
15,1,raspberry,162.0,3,2,0,raspberry_full_control
15,2,raspberry,161.5,3,4,0,raspberry_full_control
16,1,raspberry,124.0,3,0,0,raspberry_full_control
16,2,raspberry,175.0,3,1,0,raspberry_full_control
17,1,raspberry,149.0,3,1,0,raspberry_full_control
17,2,raspberry,180.0,3,4,0,time
18,1,raspberry,121.0,3,1,0,raspberry_full_control
18,2,raspberry,121.5,3,2,0,raspberry_full_control
19,1,blueberry,156.5,-3,0,1,blueberry_full_control
19,2,blueberry,148.5,-3,0,2,blueberry_full_control
20,1,raspberry,129.0,3,0,0,raspberry_full_control
20,2,raspberry,180.0,1,1,2,time
21,1,raspberry,164.0,3,2,0,raspberry_full_control
21,2,raspberry,180.0,3,4,0,time
22,1,raspberry,116.0,3,0,0,raspberry_full_control
22,2,raspberry,177.0,3,2,1,raspberry_full_control
23,1,raspberry,129.0,3,1,0,raspberry_full_control
23,2,raspberry,180.0,2,4,0,time
24,1,raspberry,131.0,3,1,0,raspberry_full_control
24,2,raspberry,158.0,3,2,0,raspberry_full_control
25,1,raspberry,180.0,3,1,0,time
25,2,raspberry,120.0,3,2,0,raspberry_full_control
26,1,raspberry,180.0,2,1,1,time
26,2,blueberry,180.0,-3,1,2,time
26,3,raspberry,174.5,3,2,2,raspberry_full_control
27,1,raspberry,122.5,3,1,0,raspberry_full_control
27,2,raspberry,158.0,3,2,0,raspberry_full_control
28,1,raspberry,131.5,3,1,0,raspberry_full_control
28,2,raspberry,127.0,3,1,0,raspberry_full_control
29,1,blueberry,180.0,0,2,0,time
29,2,raspberry,154.0,3,3,0,raspberry_full_control
29,3,raspberry,116.0,3,4,0,raspberry_full_control
30,1,raspberry,126.0,3,2,0,raspberry_full_control
30,2,raspberry,142.0,3,3,0,raspberry_full_control
31,1,blueberry,164.5,-3,0,1,blueberry_full_control
31,2,raspberry,173.0,3,2,1,raspberry_full_control
31,3,raspberry,133.0,3,4,1,raspberry_full_control
32,1,raspberry,180.0,3,1,0,time
32,2,raspberry,121.5,3,3,0,raspberry_full_control
33,1,raspberry,131.0,3,0,0,raspberry_full_control
33,2,raspberry,128.0,3,1,0,raspberry_full_control
34,1,raspberry,119.0,3,0,0,raspberry_full_control
34,2,blueberry,180.0,-1,1,1,time
34,3,raspberry,127.0,3,1,1,raspberry_full_control
35,1,raspberry,126.5,3,1,0,raspberry_full_control
35,2,raspberry,140.5,3,3,0,raspberry_full_control
36,1,raspberry,136.5,3,3,0,raspberry_full_control
36,2,raspberry,120.0,3,4,0,raspberry_full_control
37,1,raspberry,161.5,3,1,0,raspberry_full_control
37,2,raspberry,180.0,3,2,0,time
38,1,raspberry,137.0,3,1,0,raspberry_full_control
38,2,raspberry,142.5,3,1,0,raspberry_full_control
39,1,raspberry,180.0,3,1,1,time
39,2,raspberry,136.5,3,2,1,raspberry_full_control
40,1,raspberry,174.0,3,1,0,raspberry_full_control
40,2,raspberry,122.5,3,3,0,raspberry_full_control
41,1,raspberry,137.0,3,1,0,raspberry_full_control
41,2,raspberry,176.5,3,1,0,raspberry_full_control
42,1,raspberry,141.5,3,2,0,raspberry_full_control
42,2,raspberry,180.0,3,5,0,time
43,1,blueberry,164.0,-3,1,0,blueberry_full_control
43,2,raspberry,145.5,3,2,0,raspberry_full_control
43,3,raspberry,166.0,3,4,0,raspberry_full_control
