team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,455,5.6875,0.0279,33,0.4125,143,15962.61,199.5327,151013.0,0.0,1137,3303,22128.5,48.6341,259,139,5
raspberry,macaron,마카롱,688,8.6,0.0421,0,0.0,374,0.0,0.0,54363.79,195892.58,0,1555,23000.0,33.4302,0,96,10
raspberry,pie,파이,14522,181.525,0.8897,6256,78.2,3097,1396025.08,17450.3135,651414.2,0.0,39673,6631,809192.0,55.7218,20723,823,9
raspberry,scone,스콘,270,3.375,0.0165,200,2.5,29,45955.51,574.4438,14910.96,0.0,589,112,15538.0,57.5481,152,19,3
raspberry,tart,타르트,388,4.85,0.0238,140,1.75,34,60746.06,759.3258,10932.34,0.0,1836,94,23437.0,60.4046,573,38,6
blueberry,baumkuchen,바움쿠헨,4505,56.3125,0.6275,415,5.1875,4299,156026.21,1950.3277,1259841.57,0.0,5600,35275,30530.5,6.777,339,17690,17
blueberry,pannacotta,판나코타,124,1.55,0.0173,918,11.475,120,144461.09,1805.7636,4005.31,0.0,75,149,453.5,3.6573,5,129,12
blueberry,pie,파이,2219,27.7375,0.3091,760,9.5,2020,170757.33,2134.4666,197520.24,0.0,3575,6181,20880.0,9.4096,449,2867,18
blueberry,scone,스콘,110,1.375,0.0153,1181,14.7625,83,152935.77,1911.6971,21021.39,0.0,1340,572,3705.0,33.6818,179,335,14
blueberry,tarte_tatin,타르트·타탱,221,2.7625,0.0308,403,5.0375,182,258453.88,3230.6735,36300.75,0.0,1105,1058,4238.5,19.1787,143,686,13
