match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,blueberry,0,2,2,0,0,tank_focus,mixed_composition
2,blueberry,1,2,3,0,0,tank_focus,swarm_focus
3,blueberry,0,2,2,0,0,tank_focus,swarm_focus
4,blueberry,0,2,2,0,0,tank_focus,swarm_focus
5,blueberry,0,2,2,0,0,tank_focus,swarm_focus
6,blueberry,0,2,2,0,0,tank_focus,swarm_focus
7,raspberry,2,0,2,0,0,tank_focus,ranged_focus
8,blueberry,0,2,2,0,0,tank_focus,mixed_composition
9,blueberry,1,2,3,0,0,tank_focus,mixed_composition
10,blueberry,1,2,3,0,0,tank_focus,mixed_composition
11,blueberry,0,2,2,0,0,tank_focus,mixed_composition
12,raspberry,2,1,3,0,0,tank_focus,mixed_composition
13,blueberry,0,2,2,0,0,tank_focus,swarm_focus
14,blueberry,1,2,3,0,0,tank_focus,swarm_focus
15,raspberry,2,0,2,0,0,tank_focus,ranged_focus
16,blueberry,1,2,3,0,0,tank_focus,swarm_focus
17,raspberry,2,1,3,0,0,tank_focus,mixed_composition
18,blueberry,0,2,2,0,0,tank_focus,swarm_focus
19,blueberry,0,2,2,0,0,tank_focus,swarm_focus
20,blueberry,0,2,2,0,0,tank_focus,swarm_focus
21,blueberry,0,2,2,0,0,tank_focus,swarm_focus
22,blueberry,1,2,3,0,0,tank_focus,swarm_focus
23,blueberry,0,2,2,0,0,tank_focus,mixed_composition
24,blueberry,1,2,3,0,0,tank_focus,mixed_composition
25,blueberry,1,2,3,0,0,tank_focus,mixed_composition
26,blueberry,0,2,2,0,0,tank_focus,swarm_focus
27,blueberry,1,2,3,0,0,tank_focus,swarm_focus
28,blueberry,0,2,2,0,0,tank_focus,swarm_focus
29,blueberry,0,2,2,0,0,tank_focus,swarm_focus
30,raspberry,2,1,3,0,0,tank_focus,mixed_composition
31,blueberry,0,2,2,0,0,tank_focus,mixed_composition
32,blueberry,1,2,3,0,0,tank_focus,mixed_composition
33,blueberry,1,2,3,0,0,tank_focus,swarm_focus
34,blueberry,0,2,2,0,0,tank_focus,swarm_focus
35,raspberry,2,1,3,0,0,tank_focus,mixed_composition
36,blueberry,0,2,2,0,0,tank_focus,swarm_focus
37,blueberry,1,2,3,0,0,tank_focus,mixed_composition
38,blueberry,1,2,3,0,0,tank_focus,mixed_composition
39,blueberry,0,2,2,0,0,tank_focus,mixed_composition
40,blueberry,0,2,2,0,0,tank_focus,swarm_focus
41,blueberry,1,2,3,0,0,tank_focus,mixed_composition
42,blueberry,1,2,3,0,0,tank_focus,mixed_composition
43,blueberry,1,2,3,0,0,tank_focus,mixed_composition
44,blueberry,0,2,2,0,0,tank_focus,swarm_focus
45,blueberry,0,2,2,0,0,tank_focus,swarm_focus
46,raspberry,2,1,3,0,0,tank_focus,mixed_composition
47,raspberry,2,1,3,0,0,tank_focus,mixed_composition
48,blueberry,0,2,2,0,0,tank_focus,swarm_focus
49,blueberry,1,2,3,0,0,tank_focus,swarm_focus
50,blueberry,0,2,2,0,0,tank_focus,swarm_focus
51,raspberry,2,1,3,0,0,tank_focus,ranged_focus
52,raspberry,2,1,3,0,0,tank_focus,mixed_composition
53,blueberry,1,2,3,0,0,tank_focus,swarm_focus
54,blueberry,1,2,3,0,0,tank_focus,ranged_focus
55,blueberry,0,2,2,0,0,tank_focus,swarm_focus
56,blueberry,0,2,2,0,0,tank_focus,swarm_focus
57,raspberry,2,0,2,0,0,tank_focus,ranged_focus
58,blueberry,0,2,2,0,0,tank_focus,mixed_composition
59,blueberry,0,2,2,0,0,tank_focus,swarm_focus
60,blueberry,1,2,3,0,0,tank_focus,swarm_focus
61,blueberry,1,2,3,0,0,tank_focus,mixed_composition
62,raspberry,2,1,3,0,0,tank_focus,mixed_composition
63,raspberry,2,1,3,0,0,tank_focus,mixed_composition
64,blueberry,0,2,2,0,0,tank_focus,mixed_composition
65,blueberry,1,2,3,0,0,tank_focus,mixed_composition
66,blueberry,1,2,3,0,0,tank_focus,mixed_composition
67,blueberry,1,2,3,0,0,tank_focus,mixed_composition
68,raspberry,2,0,2,0,0,tank_focus,ranged_focus
69,blueberry,1,2,3,0,0,tank_focus,mixed_composition
70,blueberry,0,2,2,0,0,tank_focus,mixed_composition
71,blueberry,0,2,2,0,0,tank_focus,swarm_focus
72,raspberry,2,1,3,0,0,tank_focus,mixed_composition
73,raspberry,2,1,3,0,0,tank_focus,mixed_composition
74,blueberry,1,2,3,0,0,tank_focus,mixed_composition
75,blueberry,0,2,2,0,0,tank_focus,swarm_focus
76,blueberry,1,2,3,0,0,tank_focus,mixed_composition
77,raspberry,2,1,3,0,0,tank_focus,mixed_composition
78,blueberry,0,2,2,0,0,tank_focus,swarm_focus
79,blueberry,1,2,3,0,0,tank_focus,swarm_focus
80,blueberry,0,2,2,0,0,tank_focus,swarm_focus
