team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,9056,113.2,0.6718,2805,35.0625,3582,708889.07,8861.1133,3160708.47,0.0,51613,57866,439405.0,48.5209,14931,10531,24
raspberry,macaron,마카롱,1057,13.2125,0.0784,0,0.0,716,0.0,0.0,116631.21,714611.13,0,3074,30613.0,28.9622,0,245,18
raspberry,pie,파이,2848,35.6,0.2113,3149,39.3625,955,639268.45,7990.8557,197946.48,0.0,18808,2248,151682.0,53.2591,5412,986,19
raspberry,scone,스콘,166,2.075,0.0123,280,3.5,47,60456.21,755.7026,19340.61,0.0,778,284,9888.5,59.5693,124,150,15
raspberry,tart,타르트,354,4.425,0.0263,565,7.0625,62,161379.23,2017.2404,20309.29,0.0,3410,211,23861.0,67.404,689,137,17
blueberry,baumkuchen,바움쿠헨,5318,66.475,0.5738,1247,15.5875,4337,840983.77,10512.2971,1285482.36,0.0,29451,62581,87097.0,16.3778,3819,15477,28
blueberry,pannacotta,판나코타,170,2.125,0.0183,585,7.3125,157,538114.38,6726.4298,1677.82,0.0,141,62,932.0,5.4824,6,46,18
blueberry,pie,파이,3351,41.8875,0.3616,2979,37.2375,2152,1581824.8,19772.8101,218201.42,0.0,31142,8881,97516.0,29.1006,7697,4001,18
blueberry,scone,스콘,149,1.8625,0.0161,308,3.85,104,165550.09,2069.3762,26620.33,0.0,1163,1261,4254.0,28.5503,157,663,14
blueberry,tarte_tatin,타르트·타탱,280,3.5,0.0302,243,3.0375,190,388463.02,4855.7877,38011.02,0.0,1786,1824,9738.5,34.7804,370,969,19
