match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,172.5,-3,1,0,blueberry_full_control
1,2,blueberry,144.5,-3,1,0,blueberry_full_control
2,1,blueberry,180.0,-1,1,0,time
2,2,raspberry,171.0,3,1,0,raspberry_full_control
2,3,raspberry,147.5,2,1,0,raspberry_full_control
3,1,blueberry,174.0,-3,1,0,blueberry_full_control
3,2,raspberry,164.5,3,1,0,raspberry_full_control
3,3,raspberry,180.0,3,1,0,time
4,1,blueberry,180.0,-3,1,0,time
4,2,raspberry,173.0,3,1,0,raspberry_full_control
4,3,raspberry,180.0,2,2,0,time
5,1,blueberry,180.0,-1,1,0,time
5,2,blueberry,180.0,-2,1,0,time
6,1,raspberry,180.0,2,1,0,time
6,2,raspberry,180.0,2,2,0,time
7,1,raspberry,180.0,3,2,0,time
7,2,blueberry,163.0,-3,2,0,blueberry_full_control
7,3,raspberry,134.5,3,2,0,raspberry_full_control
8,1,raspberry,180.0,2,1,0,time
8,2,raspberry,165.0,3,1,0,raspberry_full_control
9,1,blueberry,145.5,-3,1,0,blueberry_full_control
9,2,raspberry,180.0,3,1,0,time
9,3,raspberry,158.5,3,1,0,raspberry_full_control
10,1,raspberry,180.0,2,2,0,time
10,2,raspberry,180.0,1,2,0,time
11,1,blueberry,153.5,-3,1,0,blueberry_full_control
11,2,raspberry,180.0,3,2,0,time
11,3,raspberry,138.5,3,3,0,raspberry_full_control
12,1,raspberry,180.0,2,1,0,time
12,2,raspberry,159.0,3,1,0,raspberry_full_control
13,1,raspberry,180.0,2,2,0,time
13,2,raspberry,171.5,3,2,0,raspberry_full_control
14,1,raspberry,180.0,3,2,0,time
14,2,raspberry,180.0,3,3,0,time
15,1,raspberry,180.0,2,1,0,time
15,2,raspberry,172.5,3,2,0,raspberry_full_control
16,1,raspberry,180.0,0,1,0,time
16,2,raspberry,164.0,3,1,0,raspberry_full_control
17,1,raspberry,180.0,2,2,0,time
17,2,raspberry,180.0,2,3,0,time
18,1,blueberry,180.0,-2,2,0,time
18,2,raspberry,143.5,3,3,0,raspberry_full_control
18,3,raspberry,139.0,3,3,0,raspberry_full_control
19,1,raspberry,180.0,1,1,0,time
19,2,raspberry,171.5,3,1,0,raspberry_full_control
20,1,raspberry,180.0,2,1,0,time
20,2,raspberry,180.0,2,3,0,time
21,1,raspberry,180.0,3,1,0,time
21,2,raspberry,180.0,3,2,0,time
22,1,raspberry,180.0,2,2,0,time
22,2,raspberry,180.0,3,2,0,time
23,1,blueberry,180.0,-1,2,0,time
23,2,raspberry,136.0,3,2,0,raspberry_full_control
23,3,raspberry,180.0,2,2,0,time
24,1,raspberry,180.0,0,2,0,time
24,2,raspberry,154.5,3,2,0,raspberry_full_control
25,1,raspberry,180.0,3,1,0,time
25,2,raspberry,180.0,2,1,0,time
26,1,raspberry,180.0,3,2,0,time
26,2,raspberry,180.0,2,2,0,time
27,1,raspberry,180.0,2,1,0,time
27,2,raspberry,180.0,3,1,0,time
28,1,raspberry,180.0,1,2,0,time
28,2,raspberry,152.5,3,2,0,raspberry_full_control
29,1,raspberry,180.0,3,1,0,time
29,2,raspberry,180.0,2,2,0,time
30,1,raspberry,180.0,0,2,0,time
30,2,raspberry,180.0,2,2,0,time
31,1,raspberry,180.0,1,1,0,time
31,2,raspberry,180.0,0,2,0,time
32,1,blueberry,180.0,-2,1,0,time
32,2,blueberry,180.0,-1,2,0,time
33,1,raspberry,180.0,2,2,0,time
33,2,raspberry,180.0,3,2,0,time
34,1,raspberry,180.0,1,1,0,time
34,2,raspberry,175.5,3,1,0,raspberry_full_control
35,1,raspberry,180.0,1,2,0,time
35,2,raspberry,180.0,3,2,0,time
36,1,raspberry,180.0,2,1,0,time
36,2,raspberry,180.0,3,1,0,time
37,1,blueberry,180.0,-2,1,0,time
37,2,raspberry,180.0,2,2,0,time
37,3,raspberry,162.5,3,3,0,raspberry_full_control
38,1,blueberry,180.0,-2,2,0,time
38,2,raspberry,175.0,3,3,0,raspberry_full_control
38,3,raspberry,118.5,3,3,0,raspberry_full_control
39,1,raspberry,180.0,2,1,0,time
39,2,raspberry,164.0,3,3,0,raspberry_full_control
40,1,raspberry,180.0,2,1,0,time
40,2,raspberry,180.0,3,1,0,time
41,1,raspberry,180.0,3,1,0,time
