team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,2350,29.375,0.1806,512,6.4,2223,75702.1,946.2763,1900522.62,0.0,4474,17109,34027.0,14.4796,374,1705,7
raspberry,macaron,마카롱,2908,36.35,0.2235,0,0.0,2984,0.0,0.0,309985.41,648775.2,0,3730,22819.0,7.847,0,687,9
raspberry,pie,파이,5164,64.55,0.3968,1631,20.3875,4797,203003.92,2537.5491,836115.49,0.0,5268,5070,58477.5,11.3241,545,910,9
raspberry,scone,스콘,794,9.925,0.061,1933,24.1625,693,182767.97,2284.5996,300352.62,0.0,2404,1089,14991.5,18.881,226,355,7
raspberry,tart,타르트,1797,22.4625,0.1381,1665,20.8125,1513,331368.98,4142.1123,468022.36,0.0,8527,1849,33241.0,18.4981,1262,546,10
blueberry,baumkuchen,바움쿠헨,928,11.6,0.0843,215,2.6875,677,91757.33,1146.9666,203089.38,0.0,3258,5529,30345.0,32.6994,302,454,7
blueberry,pannacotta,판나코타,3401,42.5125,0.309,7908,98.85,3049,2248167.93,28102.0991,81105.39,0.0,2406,1926,45981.5,13.52,229,443,12
blueberry,pie,파이,5689,71.1125,0.5168,2430,30.375,3892,796869.45,9960.8681,386382.63,0.0,15990,10640,179340.0,31.524,2422,1180,9
blueberry,scone,스콘,182,2.275,0.0165,1051,13.1375,113,259722.56,3246.532,31969.09,0.0,1986,656,9367.5,51.4698,306,113,9
blueberry,tarte_tatin,타르트·타탱,808,10.1,0.0734,606,7.575,416,418481.24,5231.0155,90296.48,0.0,5207,1922,37821.5,46.8088,944,217,6
