team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,1940,24.25,0.1803,917,11.4625,367,237391.46,2967.3932,677912.84,0.0,13430,11187,122678.0,63.2361,5129,329,6
raspberry,macaron,마카롱,2521,31.5125,0.2343,0,0.0,1417,0.0,0.0,548643.68,977286.34,0,13334,111086.0,44.0643,0,348,7
raspberry,pie,파이,4242,53.025,0.3943,4203,52.5375,910,870162.52,10877.0315,258848.4,0.0,20469,1383,266219.0,62.7579,9558,124,6
raspberry,scone,스콘,652,8.15,0.0606,833,10.4125,52,153486.24,1918.578,30976.96,0.0,1675,149,46332.5,71.0621,380,19,5
raspberry,tart,타르트,1403,17.5375,0.1304,1204,15.05,52,383406.13,4792.5767,27437.32,0.0,8499,307,101730.5,72.5093,2706,29,4
blueberry,baumkuchen,바움쿠헨,4661,58.2625,0.6321,430,5.375,4611,467913.27,5848.9159,1352624.28,0.0,16198,36553,43224.0,9.2735,433,14022,19
blueberry,pannacotta,판나코타,149,1.8625,0.0202,1065,13.3125,148,314216.94,3927.7118,2901.1,0.0,121,76,701.5,4.7081,11,55,13
blueberry,pie,파이,2190,27.375,0.297,839,10.4875,2156,427143.03,5339.2879,210757.13,0.0,8393,5497,20838.5,9.5153,360,2569,17
blueberry,scone,스콘,131,1.6375,0.0178,385,4.8125,129,92759.86,1159.4983,31664.44,0.0,717,811,2000.0,15.2672,14,444,16
blueberry,tarte_tatin,타르트·타탱,243,3.0375,0.033,79,0.9875,234,241786.09,3022.3261,46499.4,0.0,931,1136,3663.5,15.0761,31,683,16
