team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,50,5.0,0.0422,15,1.5,44,2077.47,207.7465,37231.01,0.0,115,546,863.0,17.26,10,52,7
raspberry,macaron,마카롱,149,14.9,0.1257,0,0.0,77,0.0,0.0,25338.79,73287.21,0,431,5715.0,38.3557,0,6,2
raspberry,pie,파이,615,61.5,0.519,331,33.1,272,37902.0,3790.1998,80358.82,0.0,1002,1087,26125.5,42.4805,336,72,7
raspberry,scone,스콘,187,18.7,0.1578,138,13.8,6,15969.29,1596.9285,8471.85,0.0,217,55,12366.5,66.131,126,2,2
raspberry,tart,타르트,184,18.4,0.1553,583,58.3,95,126896.45,12689.645,39900.32,0.0,3543,246,12870.5,69.9484,1470,59,8
blueberry,baumkuchen,바움쿠헨,97,9.7,0.0856,18,1.8,96,6583.2,658.3204,27849.56,0.0,234,786,649.5,6.6959,16,335,10
blueberry,pannacotta,판나코타,8,0.8,0.0071,20,2.0,8,3872.6,387.2595,349.54,0.0,7,10,98.5,12.3125,2,0,0
blueberry,pie,파이,454,45.4,0.4007,118,11.8,418,26319.63,2631.9632,42194.68,0.0,553,1522,3944.0,8.6872,28,518,10
blueberry,scone,스콘,31,3.1,0.0274,78,7.8,16,25677.31,2567.7309,5400.18,0.0,181,143,1484.0,47.871,64,2,2
blueberry,tarte_tatin,타르트·타탱,543,54.3,0.4793,260,26.0,536,128848.06,12884.8056,107051.23,0.0,1390,2416,4820.5,8.8775,81,1087,10
