match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,raspberry,2,0,2,3,1,upgrade_focus,swarm_focus
2,raspberry,2,0,2,3,3,upgrade_focus,upgrade_focus
3,raspberry,2,0,2,5,1,upgrade_focus,swarm_focus
4,raspberry,2,0,2,4,1,upgrade_focus,mixed_composition
5,raspberry,2,0,2,6,2,upgrade_focus,upgrade_focus
6,blueberry,0,2,2,0,4,tank_aoe_focus,upgrade_focus
7,raspberry,2,0,2,4,0,upgrade_focus,mixed_composition
8,raspberry,2,0,2,5,3,upgrade_focus,upgrade_focus
9,raspberry,2,0,2,4,1,upgrade_focus,swarm_focus
10,raspberry,2,0,2,4,1,upgrade_focus,swarm_focus
