match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,180.0,2,2,0,time
1,2,raspberry,151.5,3,3,1,raspberry_full_control
2,1,raspberry,180.0,1,2,2,time
2,2,raspberry,180.0,2,3,3,time
3,1,raspberry,172.5,3,2,1,raspberry_full_control
3,2,raspberry,178.5,3,5,1,raspberry_full_control
4,1,raspberry,177.5,3,1,1,raspberry_full_control
4,2,raspberry,163.5,3,4,1,raspberry_full_control
5,1,raspberry,169.5,3,2,1,raspberry_full_control
5,2,raspberry,180.0,3,6,2,time
6,1,blueberry,180.0,-1,0,3,time
6,2,blueberry,134.5,-3,0,4,blueberry_full_control
7,1,raspberry,180.0,2,1,0,time
7,2,raspberry,178.5,3,4,0,raspberry_full_control
8,1,raspberry,180.0,3,1,1,time
8,2,raspberry,180.0,1,5,3,time
9,1,raspberry,180.0,2,2,1,time
9,2,raspberry,162.5,3,4,1,raspberry_full_control
10,1,raspberry,180.0,3,2,1,time
10,2,raspberry,163.5,3,4,1,raspberry_full_control
