match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,114.0,-3,0,3,blueberry_full_control
1,2,blueberry,100.0,-3,0,3,blueberry_full_control
2,1,raspberry,175.5,3,1,2,raspberry_full_control
2,2,blueberry,98.0,-3,1,4,blueberry_full_control
2,3,blueberry,104.5,-3,1,7,blueberry_full_control
3,1,blueberry,180.0,-2,1,5,time
3,2,blueberry,93.0,-3,1,7,blueberry_full_control
4,1,blueberry,180.0,-3,2,4,time
4,2,blueberry,119.0,-3,2,7,blueberry_full_control
5,1,blueberry,111.5,-3,1,5,blueberry_full_control
5,2,blueberry,93.5,-3,1,7,blueberry_full_control
6,1,raspberry,158.5,1,3,3,raspberry_full_control
6,2,blueberry,94.5,-3,3,4,blueberry_full_control
6,3,blueberry,105.0,-3,3,6,blueberry_full_control
7,1,blueberry,180.0,-3,0,5,time
7,2,blueberry,93.5,-3,0,7,blueberry_full_control
8,1,blueberry,122.0,-3,1,2,blueberry_full_control
8,2,blueberry,107.5,-3,1,4,blueberry_full_control
9,1,blueberry,180.0,-2,0,5,time
9,2,blueberry,97.0,-3,0,8,blueberry_full_control
10,1,blueberry,105.0,-3,0,2,blueberry_full_control
10,2,blueberry,96.5,-3,0,4,blueberry_full_control
