raspberry_strategy,blueberry_strategy,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,raspberry_detected_dominant,blueberry_detected_dominant,strategy_diversity_penalty
tank_focus,tank_focus,0.6,0.4,-0.3462,169.0192,tank_focus,tank_focus,0.691581
tank_focus,tank_aoe_focus,0.0,1.0,-3.0,166.65,tank_focus,tank_aoe_focus,0.525904
tank_focus,ranged_focus,0.0,1.0,-3.0,137.975,tank_focus,ranged_focus,0.525904
tank_focus,swarm_focus,0.0,1.0,-2.0833,142.3333,tank_focus,swarm_focus,0.40173
tank_focus,special_focus,0.0,1.0,-2.6,179.225,tank_focus,mixed_composition,0.525904
tank_focus,upgrade_focus,0.0,1.0,-3.0,137.625,tank_focus,upgrade_focus,0.525904
tank_focus,mixed,0.0,1.0,-3.0,140.575,tank_focus,upgrade_focus,0.525904
tank_aoe_focus,tank_focus,1.0,0.0,3.0,169.775,tank_aoe_focus,tank_focus,0.525904
tank_aoe_focus,tank_aoe_focus,1.0,0.0,2.4545,168.2955,tank_aoe_focus,tank_aoe_focus,0.787488
tank_aoe_focus,ranged_focus,0.9,0.1,1.36,175.18,tank_aoe_focus,ranged_focus,0.525904
tank_aoe_focus,swarm_focus,1.0,0.0,3.0,144.65,tank_aoe_focus,swarm_focus,0.525904
tank_aoe_focus,special_focus,0.3,0.7,-0.7037,180.0,tank_aoe_focus,mixed_composition,0.525904
tank_aoe_focus,upgrade_focus,1.0,0.0,3.0,159.55,tank_aoe_focus,swarm_focus,0.404039
tank_aoe_focus,mixed,1.0,0.0,3.0,165.75,tank_aoe_focus,mixed_composition,0.424729
ranged_focus,tank_focus,1.0,0.0,3.0,161.475,ranged_focus,tank_focus,0.40173
ranged_focus,tank_aoe_focus,1.0,0.0,3.0,176.7,ranged_focus,tank_aoe_focus,0.525904
ranged_focus,ranged_focus,1.0,0.0,1.9524,180.0,ranged_focus,ranged_focus,0.95
ranged_focus,swarm_focus,1.0,0.0,3.0,151.5,ranged_focus,swarm_focus,0.478373
ranged_focus,special_focus,1.0,0.0,1.24,180.0,ranged_focus,mixed_composition,0.525904
ranged_focus,upgrade_focus,1.0,0.0,2.85,175.525,ranged_focus,swarm_focus,0.318103
ranged_focus,mixed,1.0,0.0,2.95,173.45,ranged_focus,mixed_composition,0.599356
swarm_focus,tank_focus,1.0,0.0,3.0,137.1,swarm_focus,tank_focus,0.384543
swarm_focus,tank_aoe_focus,0.0,1.0,-3.0,137.175,swarm_focus,tank_aoe_focus,0.525904
swarm_focus,ranged_focus,0.0,1.0,-3.0,112.3,swarm_focus,ranged_focus,0.525904
swarm_focus,swarm_focus,0.5,0.5,-0.037,158.3704,upgrade_focus,upgrade_focus,0.741581
swarm_focus,special_focus,0.4,0.6,-0.9167,180.0,upgrade_focus,mixed_composition,0.280023
swarm_focus,upgrade_focus,0.0,1.0,-2.9,127.225,swarm_focus,upgrade_focus,0.571961
swarm_focus,mixed,0.0,1.0,-3.0,140.875,swarm_focus,upgrade_focus,0.521961
special_focus,tank_focus,1.0,0.0,1.7273,176.8864,upgrade_focus,tank_focus,0.547495
special_focus,tank_aoe_focus,0.5,0.5,-0.3704,163.6852,upgrade_focus,tank_aoe_focus,0.374729
special_focus,ranged_focus,0.0,1.0,-2.9,131.35,special_focus,ranged_focus,0.478373
special_focus,swarm_focus,0.1,0.9,-1.5,144.1042,upgrade_focus,upgrade_focus,0.769266
special_focus,special_focus,0.0,1.0,-3.0,116.8,special_focus,mixed_composition,0.478373
special_focus,upgrade_focus,0.0,1.0,-2.4545,123.1136,special_focus,upgrade_focus,0.571961
special_focus,mixed,0.1,0.9,-2.2857,126.5238,special_focus,upgrade_focus,0.330023
upgrade_focus,tank_focus,1.0,0.0,3.0,137.125,upgrade_focus,tank_focus,0.525904
upgrade_focus,tank_aoe_focus,1.0,0.0,2.087,163.8696,upgrade_focus,tank_aoe_focus,0.45173
upgrade_focus,ranged_focus,1.0,0.0,1.2222,161.4815,upgrade_focus,ranged_focus,0.525904
upgrade_focus,swarm_focus,1.0,0.0,2.9,140.9,upgrade_focus,swarm_focus,0.525904
upgrade_focus,special_focus,0.9,0.1,1.2083,176.2292,upgrade_focus,mixed_composition,0.45173
upgrade_focus,upgrade_focus,0.9,0.1,1.7727,162.0455,upgrade_focus,upgrade_focus,0.575027
upgrade_focus,mixed,1.0,0.0,3.0,167.3,upgrade_focus,ranged_focus,0.424729
mixed,tank_focus,1.0,0.0,3.0,141.4,upgrade_focus,tank_focus,0.525904
mixed,tank_aoe_focus,0.7,0.3,0.875,176.0833,upgrade_focus,tank_aoe_focus,0.430108
mixed,ranged_focus,0.8,0.2,1.0,174.475,upgrade_focus,ranged_focus,0.45173
mixed,swarm_focus,1.0,0.0,2.95,139.625,upgrade_focus,swarm_focus,0.525904
mixed,special_focus,0.3,0.7,-0.0909,180.0,mixed_composition,mixed_composition,0.488016
mixed,upgrade_focus,0.9,0.1,2.1,172.6,upgrade_focus,swarm_focus,0.500238
mixed,mixed,0.9,0.1,2.2273,172.3182,upgrade_focus,ranged_focus,0.320406
