match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,159.0,-3,0,1,blueberry_full_control
1,2,blueberry,115.0,-3,0,2,blueberry_full_control
2,1,blueberry,123.0,-3,0,0,blueberry_full_control
2,2,blueberry,175.0,-3,0,1,blueberry_full_control
3,1,blueberry,164.0,-3,1,3,blueberry_full_control
3,2,blueberry,108.5,-3,1,3,blueberry_full_control
4,1,blueberry,131.5,-3,1,1,blueberry_full_control
4,2,blueberry,138.0,-3,2,2,blueberry_full_control
5,1,blueberry,141.0,-3,2,0,blueberry_full_control
5,2,blueberry,129.5,-3,2,1,blueberry_full_control
6,1,blueberry,160.5,-3,1,1,blueberry_full_control
6,2,blueberry,176.5,-3,2,2,blueberry_full_control
7,1,blueberry,142.5,-3,2,2,blueberry_full_control
7,2,blueberry,138.0,-3,2,3,blueberry_full_control
8,1,blueberry,175.5,-3,2,2,blueberry_full_control
8,2,blueberry,119.5,-3,2,2,blueberry_full_control
9,1,blueberry,117.0,-3,0,0,blueberry_full_control
9,2,blueberry,133.0,-3,0,1,blueberry_full_control
10,1,blueberry,164.0,-3,0,2,blueberry_full_control
10,2,blueberry,106.5,-3,0,5,blueberry_full_control
