match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,blueberry,0,2,2,1,0,swarm_focus,mixed_composition
2,blueberry,1,2,3,7,0,upgrade_focus,mixed_composition
3,raspberry,2,1,3,7,0,upgrade_focus,mixed_composition
4,raspberry,2,0,2,7,0,upgrade_focus,mixed_composition
5,blueberry,0,2,2,6,0,upgrade_focus,mixed_composition
6,blueberry,0,2,2,9,0,upgrade_focus,special_focus
7,raspberry,2,1,3,10,0,upgrade_focus,mixed_composition
8,blueberry,0,2,2,4,0,upgrade_focus,mixed_composition
9,raspberry,2,1,3,7,0,upgrade_focus,special_focus
10,blueberry,0,2,2,3,0,upgrade_focus,mixed_composition
