match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,134.5,-3,0,0,blueberry_full_control
1,2,blueberry,136.5,-3,0,0,blueberry_full_control
2,1,blueberry,167.5,-3,1,0,blueberry_full_control
2,2,blueberry,133.0,-3,1,0,blueberry_full_control
3,1,blueberry,124.0,-3,0,0,blueberry_full_control
3,2,blueberry,119.5,-3,0,0,blueberry_full_control
4,1,blueberry,146.5,-3,1,0,blueberry_full_control
4,2,blueberry,117.5,-3,1,0,blueberry_full_control
5,1,blueberry,121.0,-3,0,0,blueberry_full_control
5,2,blueberry,118.5,-3,0,0,blueberry_full_control
6,1,blueberry,125.0,-3,0,0,blueberry_full_control
6,2,blueberry,179.5,-3,0,0,blueberry_full_control
7,1,blueberry,130.0,-3,0,0,blueberry_full_control
7,2,blueberry,148.0,-3,1,0,blueberry_full_control
8,1,blueberry,124.0,-3,0,0,blueberry_full_control
8,2,blueberry,117.5,-3,0,0,blueberry_full_control
9,1,blueberry,127.0,-3,0,0,blueberry_full_control
9,2,blueberry,175.5,-3,1,0,blueberry_full_control
10,1,blueberry,160.0,-3,0,0,blueberry_full_control
10,2,blueberry,138.5,-3,1,0,blueberry_full_control
