match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,149.0,3,0,0,raspberry_full_control
1,2,raspberry,141.0,3,0,0,raspberry_full_control
2,1,raspberry,146.0,3,0,0,raspberry_full_control
2,2,raspberry,147.0,3,0,0,raspberry_full_control
3,1,raspberry,155.0,3,0,0,raspberry_full_control
3,2,raspberry,135.5,3,0,0,raspberry_full_control
4,1,raspberry,149.0,3,0,0,raspberry_full_control
4,2,raspberry,149.0,3,0,0,raspberry_full_control
5,1,raspberry,155.0,3,0,0,raspberry_full_control
5,2,raspberry,137.0,3,0,0,raspberry_full_control
6,1,raspberry,138.5,3,0,0,raspberry_full_control
6,2,raspberry,141.5,3,0,0,raspberry_full_control
7,1,raspberry,136.0,3,0,0,raspberry_full_control
7,2,raspberry,147.5,3,0,0,raspberry_full_control
8,1,raspberry,149.0,3,0,0,raspberry_full_control
8,2,raspberry,139.5,3,0,0,raspberry_full_control
9,1,raspberry,139.5,3,0,0,raspberry_full_control
9,2,raspberry,149.0,3,0,0,raspberry_full_control
10,1,raspberry,149.0,3,0,0,raspberry_full_control
10,2,raspberry,140.0,3,0,0,raspberry_full_control
