match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,174.5,-3,1,0,blueberry_full_control
1,2,raspberry,180.0,3,3,0,time
1,3,raspberry,148.5,2,3,0,raspberry_full_control
2,1,blueberry,180.0,-3,0,0,time
2,2,blueberry,154.5,-3,0,0,blueberry_full_control
3,1,raspberry,168.0,1,0,0,raspberry_full_control
3,2,blueberry,156.0,-3,0,0,blueberry_full_control
3,3,raspberry,162.5,3,1,0,raspberry_full_control
4,1,blueberry,161.0,-3,0,0,blueberry_full_control
4,2,raspberry,163.5,2,1,0,raspberry_full_control
4,3,raspberry,130.0,1,2,0,raspberry_full_control
5,1,raspberry,180.0,3,0,0,time
5,2,blueberry,180.0,0,1,0,time
5,3,raspberry,180.0,3,1,0,time
6,1,blueberry,180.0,-3,0,0,time
6,2,blueberry,180.0,-3,0,0,time
7,1,blueberry,180.0,-3,0,0,time
7,2,raspberry,180.0,3,1,0,time
7,3,raspberry,168.5,3,1,0,raspberry_full_control
8,1,raspberry,171.5,3,1,0,raspberry_full_control
8,2,blueberry,180.0,-3,2,0,time
8,3,raspberry,147.0,3,3,0,raspberry_full_control
9,1,blueberry,158.5,-3,0,0,blueberry_full_control
9,2,blueberry,180.0,-3,1,0,time
10,1,blueberry,170.5,-3,0,0,blueberry_full_control
10,2,blueberry,180.0,-3,0,0,time
