match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,180.0,3,4,0,time
1,2,raspberry,147.0,3,6,0,raspberry_full_control
2,1,raspberry,180.0,3,3,0,time
2,2,raspberry,155.0,3,6,0,raspberry_full_control
3,1,raspberry,165.0,3,3,0,raspberry_full_control
3,2,raspberry,143.0,3,6,0,raspberry_full_control
4,1,raspberry,180.0,3,4,0,time
4,2,raspberry,172.0,3,8,0,raspberry_full_control
5,1,raspberry,180.0,3,4,0,time
5,2,raspberry,166.0,3,7,0,raspberry_full_control
6,1,raspberry,180.0,3,4,0,time
6,2,raspberry,159.0,3,6,0,raspberry_full_control
7,1,raspberry,180.0,3,3,0,time
7,2,raspberry,151.0,3,4,0,raspberry_full_control
8,1,raspberry,180.0,3,3,0,time
8,2,raspberry,157.0,3,6,0,raspberry_full_control
9,1,raspberry,180.0,3,4,0,time
9,2,raspberry,155.0,3,8,0,raspberry_full_control
10,1,raspberry,180.0,3,3,0,time
10,2,raspberry,156.0,3,4,0,raspberry_full_control
