match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,169.0,3,4,1,raspberry_full_control
1,2,raspberry,162.0,3,8,1,raspberry_full_control
2,1,raspberry,172.5,3,4,0,raspberry_full_control
2,2,raspberry,141.0,3,8,2,raspberry_full_control
3,1,raspberry,180.0,3,4,1,time
3,2,raspberry,153.5,3,7,1,raspberry_full_control
4,1,blueberry,152.5,-3,1,2,blueberry_full_control
4,2,blueberry,128.0,-3,1,4,blueberry_full_control
5,1,blueberry,180.0,-2,2,1,time
5,2,raspberry,159.0,3,5,1,raspberry_full_control
5,3,raspberry,155.5,3,8,1,raspberry_full_control
6,1,raspberry,158.0,3,3,1,raspberry_full_control
6,2,raspberry,162.0,3,6,1,raspberry_full_control
7,1,blueberry,180.0,-3,1,3,time
7,2,raspberry,180.0,2,4,5,time
7,3,raspberry,180.0,2,6,6,time
8,1,raspberry,166.0,3,2,1,raspberry_full_control
8,2,raspberry,156.0,3,5,1,raspberry_full_control
9,1,raspberry,156.0,3,2,1,raspberry_full_control
9,2,raspberry,153.0,3,4,2,raspberry_full_control
10,1,raspberry,180.0,1,5,2,time
10,2,raspberry,141.0,3,7,2,raspberry_full_control
