match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,blueberry,0,2,2,0,0,tank_aoe_focus,tank_aoe_focus
2,blueberry,0,2,2,0,0,tank_aoe_focus,tank_aoe_focus
3,raspberry,2,0,2,5,0,upgrade_focus,tank_aoe_focus
4,raspberry,2,1,3,4,0,upgrade_focus,ranged_focus
5,blueberry,0,2,2,0,0,mixed_composition,tank_aoe_focus
6,raspberry,2,1,3,4,0,upgrade_focus,tank_aoe_focus
7,raspberry,2,1,3,4,0,upgrade_focus,ranged_focus
8,blueberry,0,2,2,0,0,tank_aoe_focus,tank_aoe_focus
9,raspberry,2,1,3,3,0,upgrade_focus,tank_aoe_focus
10,raspberry,2,1,3,5,0,upgrade_focus,tank_aoe_focus
