match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,174.0,-3,0,0,blueberry_full_control
1,2,blueberry,156.0,-3,0,0,blueberry_full_control
2,1,blueberry,174.0,-3,0,0,blueberry_full_control
2,2,blueberry,174.5,-3,0,0,blueberry_full_control
3,1,raspberry,180.0,3,2,0,time
3,2,raspberry,180.0,3,5,0,time
4,1,blueberry,180.0,-3,0,0,time
4,2,raspberry,180.0,3,1,0,time
4,3,raspberry,180.0,3,4,0,time
5,1,blueberry,155.0,-3,0,0,blueberry_full_control
5,2,blueberry,152.5,-3,0,0,blueberry_full_control
6,1,blueberry,180.0,-1,0,0,time
6,2,raspberry,180.0,0,2,0,time
6,3,raspberry,164.0,3,4,0,raspberry_full_control
7,1,blueberry,180.0,-3,0,0,time
7,2,raspberry,180.0,0,2,0,time
7,3,raspberry,150.5,3,4,0,raspberry_full_control
8,1,blueberry,156.0,-3,0,0,blueberry_full_control
8,2,blueberry,180.0,-3,0,0,time
9,1,blueberry,173.5,-3,0,0,blueberry_full_control
9,2,raspberry,180.0,2,2,0,time
9,3,raspberry,150.5,3,3,0,raspberry_full_control
10,1,blueberry,180.0,-1,0,0,time
10,2,raspberry,180.0,3,2,0,time
10,3,raspberry,161.0,3,5,0,raspberry_full_control
