match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,135.5,3,1,0,raspberry_full_control
1,2,raspberry,143.0,3,4,0,raspberry_full_control
2,1,raspberry,164.0,3,0,0,raspberry_full_control
2,2,raspberry,153.0,3,1,0,raspberry_full_control
3,1,raspberry,143.0,3,2,0,raspberry_full_control
3,2,raspberry,124.0,3,3,0,raspberry_full_control
4,1,raspberry,147.5,3,0,0,raspberry_full_control
4,2,raspberry,149.5,3,2,0,raspberry_full_control
5,1,raspberry,145.5,3,1,0,raspberry_full_control
5,2,raspberry,128.5,3,4,0,raspberry_full_control
6,1,raspberry,143.0,3,1,0,raspberry_full_control
6,2,raspberry,132.0,3,3,0,raspberry_full_control
7,1,raspberry,158.0,3,0,0,raspberry_full_control
7,2,raspberry,143.0,3,2,0,raspberry_full_control
8,1,raspberry,173.0,3,1,0,raspberry_full_control
8,2,raspberry,153.0,3,3,0,raspberry_full_control
9,1,raspberry,149.0,3,1,0,raspberry_full_control
9,2,raspberry,148.5,3,3,0,raspberry_full_control
10,1,raspberry,135.5,3,2,0,raspberry_full_control
10,2,raspberry,125.0,3,4,0,raspberry_full_control
