match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,170.0,3,1,1,raspberry_full_control
1,2,raspberry,180.0,3,2,1,time
2,1,blueberry,180.0,-3,0,3,time
2,2,blueberry,158.5,-3,0,3,blueberry_full_control
3,1,blueberry,180.0,-2,0,2,time
3,2,blueberry,180.0,-1,0,3,time
4,1,raspberry,180.0,1,3,3,time
4,2,raspberry,180.0,1,5,3,time
5,1,raspberry,180.0,2,3,2,time
5,2,raspberry,180.0,3,7,3,time
6,1,raspberry,180.0,1,1,1,time
6,2,raspberry,180.0,3,2,2,time
7,1,raspberry,157.5,3,1,1,raspberry_full_control
7,2,blueberry,180.0,-1,1,3,time
7,3,blueberry,180.0,-3,1,3,time
8,1,raspberry,172.5,3,2,0,raspberry_full_control
8,2,raspberry,150.5,3,4,1,raspberry_full_control
9,1,blueberry,180.0,-1,0,2,time
9,2,blueberry,133.0,-3,0,3,blueberry_full_control
10,1,raspberry,166.0,3,1,1,raspberry_full_control
10,2,raspberry,180.0,2,2,3,time
